#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.762013   -0.762013           0
           2   -0.762224   -0.762118 7.46705e-05
           3    -0.76194   -0.762059 6.94625e-05
           4   -0.761666   -0.761961 9.98553e-05
           5   -0.761542   -0.761877 0.000109554
           6    -0.76142   -0.761801 0.000114783
           7   -0.761294   -0.761728 0.000119039
           8   -0.761532   -0.761704 0.000106668
           9   -0.762603   -0.761804 0.000133675
          10    -0.76126   -0.761749 0.000130911
          11   -0.761416   -0.761719 0.000122457
          12   -0.761584   -0.761708 0.000112771
          13   -0.761473    -0.76169 0.000105534
          14   -0.761163   -0.761652  0.00010448
          15   -0.761252   -0.761625 0.000100868
          16   -0.762322   -0.761669 0.000103536
          17   -0.762096   -0.761694 0.000100453
          18   -0.760468   -0.761626 0.000115682
          19   -0.762222   -0.761657 0.000113768
          20   -0.762348   -0.761692   0.0001132
