#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.48052     7.48052           0
           2     7.46405     7.47228  0.00582486
           3      7.4146     7.45306   0.0161722
           4     7.37398     7.43329   0.0209812
           5      7.3628     7.41919   0.0209935
           6     7.40416     7.41668   0.0176435
           7     7.38123     7.41162   0.0158333
           8     7.43315     7.41431   0.0140809
           9     7.43979     7.41714   0.0127978
          10     7.35277      7.4107   0.0130369
          11     7.32171     7.40261    0.014141
          12     7.47589     7.40872     0.01422
          13     7.39381     7.40757   0.0131723
          14     7.33196     7.40217   0.0132927
          15      7.3415     7.39813   0.0130075
          16     7.47012     7.40263   0.0129494
          17     7.29043     7.39603   0.0137671
          18     7.37301     7.39475   0.0130615
          19     7.43559      7.3969   0.0125496
          20     7.47861     7.40098   0.0125696
