#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.803973   -0.803973           0
           2   -0.804166    -0.80407 6.83065e-05
           3   -0.803929   -0.804023 5.94811e-05
           4      -0.805   -0.804267 0.000216194
           5   -0.804596   -0.804333 0.000182683
           6    -0.80437   -0.804339  0.00015234
           7   -0.804182   -0.804317 0.000132212
           8   -0.803974   -0.804274 0.000122431
           9   -0.803914   -0.804234 0.000115173
          10   -0.804922   -0.804303 0.000122477
          11   -0.804821    -0.80435 0.000120059
          12   -0.804751   -0.804383  0.00011462
          13   -0.803652   -0.804327 0.000118806
          14   -0.803974   -0.804302 0.000112957
          15   -0.804561   -0.804319 0.000106742
          16   -0.803758   -0.804284 0.000105667
          17   -0.804247   -0.804282 9.94739e-05
          18   -0.804278   -0.804282 9.39477e-05
          19   -0.804054    -0.80427  8.9764e-05
          20   -0.803954   -0.804254 8.66524e-05
