#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.2076     10.2076           0
           2     10.3564      10.282   0.0526103
           3     10.0328     10.1989   0.0763538
           4     10.5689     10.2914   0.0984727
           5     10.4288     10.3189   0.0825234
           6     10.0709     10.2775   0.0784417
           7     10.4424     10.3011   0.0706825
           8     10.2482     10.2945   0.0621556
           9     10.3891      10.305   0.0561319
          10     10.4006     10.3146    0.051327
          11     10.2733     10.3108    0.046798
          12     10.4725     10.3243   0.0447964
          13     10.1759     10.3129   0.0427792
          14     10.0221     10.2921    0.044482
          15     10.1463     10.2824   0.0425651
          16     10.0853     10.2701   0.0416492
          17     10.1596     10.2636   0.0397025
          18      10.381     10.2701   0.0380291
          19     9.99148     10.2554   0.0387517
          20     10.0844     10.2469   0.0377453
