#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.431934    0.431934           0
           2    0.439118    0.435526   0.0025399
           3     0.43578    0.435611  0.00169467
           4    0.437319    0.436038  0.00132373
           5    0.432253    0.435281  0.00125695
           6    0.435258    0.435277  0.00104746
           7    0.444076    0.436534  0.00146982
           8    0.431412    0.435894  0.00141868
           9    0.436858    0.436001  0.00126509
          10    0.434436    0.435844  0.00114822
          11    0.435109    0.435777  0.00104578
          12    0.438433    0.435999 0.000981764
          13    0.439279    0.436251 0.000938119
          14    0.430002    0.435805 0.000971523
          15    0.436507    0.435852 0.000907883
          16    0.440677    0.436153 0.000899835
          17    0.435537    0.436117 0.000847634
          18    0.432913    0.435939 0.000819023
          19    0.438784    0.436089 0.000789487
          20    0.437945    0.436181 0.000755447
