#          T          mu       sigma           H       Error
    0.249869    0.752028    0.638752   -0.430027  0.00188493
    0.244872    0.742168    0.715302   -0.389418  0.00390123
    0.239974    0.741071    0.776177   -0.345811  0.00448524
    0.235175    0.257277    0.755317   -0.103823  0.00433058
    0.230471    0.657283    0.789047    -0.33491  0.00498181
    0.225862    0.440348    0.895007   -0.260051  0.00420758
    0.221345     1.15802    0.638712    0.189243   0.0102495
    0.216918   0.0185878     1.01713   -0.241012  0.00609472
    0.212579       1.014    0.528772   -0.190765  0.00300233
    0.208328    0.204588     0.94345   -0.245594  0.00406209
    0.204161     1.06019    0.484287  -0.0189617  0.00420595
    0.200078    0.639848    0.892085   -0.257005  0.00706338
    0.196076    0.615065    0.670728   -0.338771  0.00227942
    0.192155    0.720796    0.723888   -0.384377  0.00350478
    0.188312    0.957528    0.620078   -0.345222  0.00345385
    0.184546    0.239516    0.985757   -0.254026  0.00531781
    0.180855    0.389261    0.942728    -0.25995  0.00579631
    0.177238    0.876879    0.485464   -0.201586  0.00374976
    0.173693     0.84779     0.68151   -0.407262  0.00382351
    0.170219    0.715433     0.66861   -0.410145  0.00210967
    0.166815     0.68168    0.776188   -0.340181  0.00414578
    0.163478    0.593674    0.608905   -0.305207  0.00269505
    0.160209    0.641581    0.432422  -0.0292824  0.00640673
    0.157005    0.577257    0.958705   -0.202445  0.00778488
    0.153865     0.62413    0.504242   -0.250994  0.00356301
    0.150787      1.0079    0.621038   -0.263087  0.00384005
    0.147771    0.725614    0.559949   -0.401696  0.00210818
    0.144816    0.718998    0.642036   -0.418943  0.00184058
     0.14192     0.56882     1.10148 -0.00553209   0.0149201
    0.139081    0.483718    0.918267   -0.258292  0.00552906
      0.1363    0.775229    0.549875   -0.406011  0.00270857
    0.133574    0.760534    0.598404   -0.437137  0.00183621
    0.130902    0.235299    0.950077   -0.251085  0.00445155
    0.128284    0.671301    0.994628   -0.105867    0.012102
    0.125719    0.788875    0.703444   -0.407288  0.00337338
    0.123204     0.77155    0.499213   -0.284902  0.00455923
     0.12074    0.578365    0.518007   -0.221421  0.00332264
    0.118325    0.762193    0.680176   -0.421805  0.00260203
    0.115959    0.845972    0.563821   -0.410794  0.00246101
     0.11364    0.640672      0.6485   -0.361423  0.00212808
    0.111367    0.559918    0.681994   -0.289421  0.00303697
    0.109139    0.741097    0.753542   -0.357095  0.00498257
    0.106957    0.751181     0.66844   -0.421856  0.00241871
    0.104818     1.05215    0.542587   -0.150266   0.0034984
    0.102721    0.700119    0.819093    -0.30311  0.00557568
    0.100667    0.823083    0.587768   -0.437709  0.00196235
   0.0986534    0.751394    0.582431   -0.427073  0.00202507
   0.0966803    0.687427    0.670705   -0.394686  0.00241607
   0.0947467    0.861684    0.776318   -0.269472   0.0074782
   0.0928518     0.77734     0.70496   -0.402412  0.00330169
   0.0909948    0.906469    0.564072   -0.376981  0.00270703
   0.0891749    0.765951    0.599941    -0.44197  0.00154441
   0.0873914     0.73507     0.69968   -0.401642  0.00283151
   0.0856435      0.7781    0.592856   -0.438186  0.00157501
   0.0839307    0.930274    0.539827   -0.319402  0.00250662
   0.0822521    0.832842     0.60225   -0.438193  0.00166935
    0.080607    0.943562    0.746352   -0.208394  0.00756141
   0.0789949    0.853116    0.652302   -0.420147  0.00282961
    0.077415    0.884795    0.582343   -0.407423  0.00218565
   0.0758667    0.916907    0.612595   -0.389936  0.00260033
   0.0743494    0.707346    0.614735   -0.412326   0.0017396
   0.0728624    0.815538    0.671559   -0.418704   0.0038173
   0.0714051    0.239754    0.949781   -0.252405  0.00431641
    0.069977    0.530161     0.59068   -0.211571  0.00297123
   0.0685775    0.679445    0.604982   -0.393037  0.00175847
   0.0672059    0.863623     0.66252   -0.407039  0.00473613
   0.0658618     0.99858     0.64791    -0.25346  0.00622373
   0.0645446    0.853043    0.690831   -0.396301  0.00396675
   0.0632537    0.803847    0.602929   -0.445966  0.00174943
   0.0619886    0.645488    0.653517   -0.367724  0.00228377
   0.0607488    0.704313    0.693975   -0.400944  0.00250477
   0.0595339    0.691501    0.607567   -0.400378  0.00205754
   0.0583432    0.883939    0.745055   -0.284183  0.00713436
   0.0571763    0.732511    0.575637   -0.410975  0.00191343
   0.0560328    0.759054    0.615059   -0.439141  0.00187477
   0.0549121    0.779113    0.647395   -0.435854  0.00208204
   0.0538139    0.699607    0.619437   -0.406792   0.0017315
   0.0527376    0.933257    0.629806   -0.376081  0.00316671
   0.0516829     0.70061    0.590133    -0.40455  0.00175926
   0.0506492     0.74736    0.643955   -0.430027  0.00185525
   0.0496362    0.809459     0.66084   -0.428302  0.00248817
   0.0486435    0.763943    0.668735   -0.427883  0.00242764
   0.0476706    0.781787    0.557527   -0.413242  0.00235812
