#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.247723    0.247723           0
           2    0.249272    0.248497 0.000547735
           3    0.249551    0.248849  0.00046434
           4    0.249731    0.249069 0.000397218
           5    0.249638    0.249183 0.000333661
           6    0.249294    0.249201 0.000278562
           7    0.250205    0.249345 0.000273197
           8    0.247734    0.249143 0.000304302
           9    0.248375    0.249058 0.000282207
          10    0.250083    0.249161 0.000271957
          11    0.248299    0.249082 0.000258275
          12    0.249357    0.249105 0.000237762
          13    0.248878    0.249088 0.000220115
          14    0.249639    0.249127 0.000207889
          15     0.24769    0.249031 0.000214962
          16    0.248391    0.248991 0.000205213
          17    0.248409    0.248957 0.000195976
          18     0.24971    0.248999 0.000189503
          19    0.248514    0.248973  0.00018124
          20    0.248801    0.248965 0.000172382
