#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.88817     1.88817           0
           2     1.90972     1.89894  0.00761745
           3     1.91277     1.90355  0.00632119
           4     1.89161     1.90057  0.00540063
           5     1.89243     1.89894  0.00455908
           6     1.91921     1.90232  0.00489375
           7      1.9069     1.90297  0.00423813
           8     1.91335     1.90427  0.00390172
           9     1.92282     1.90633  0.00397567
          10     1.90159     1.90586  0.00360624
          11     1.90142     1.90545  0.00330086
          12     1.91044     1.90587  0.00305179
          13     1.88995     1.90464  0.00305272
          14      1.9102     1.90504  0.00286031
          15     1.90734     1.90519  0.00267374
          16     1.90217     1.90501  0.00251329
          17     1.90431     1.90497  0.00236578
          18     1.90036     1.90471  0.00224814
          19     1.90202     1.90457  0.00213425
          20     1.91068     1.90487  0.00204932
