#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     44.8925     44.8925           0
           2     44.7604     44.8265   0.0467044
           3     45.6519     45.1016      0.2268
           4     46.0077     45.3281    0.259646
           5      46.212     45.5049    0.261054
           6     44.2364     45.2935    0.290812
           7     42.8297     44.9415    0.410272
           8     43.3094     44.7375    0.406563
           9     43.7686     44.6298    0.375373
          10     43.3104     44.4979     0.36028
          11      42.245     44.2931    0.381324
          12     43.1981     44.2018    0.360299
          13     44.4843     44.2236    0.333238
          14     46.0164     44.3516    0.333133
          15     44.1153     44.3359    0.311297
          16     43.1579     44.2622     0.30042
          17     45.0587     44.3091    0.286378
          18     44.4911     44.3192    0.270646
          19     44.0131     44.3031    0.256881
          20     46.3438     44.4051    0.263524
