#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.936155   -0.936155           0
           2    -0.93552   -0.935837 0.000224436
           3   -0.937077   -0.936251 0.000369017
           4   -0.936848     -0.9364 0.000305463
           5   -0.937164   -0.936553 0.000280044
           6   -0.934946   -0.936285 0.000337964
           7   -0.932406   -0.935731  0.00058921
           8   -0.934156   -0.935534 0.000547437
           9   -0.934418    -0.93541 0.000500446
          10   -0.933837   -0.935253 0.000474473
          11   -0.933197   -0.935066 0.000466688
          12   -0.934206   -0.934994 0.000433263
          13   -0.935447   -0.935029 0.000401332
          14   -0.936664   -0.935146 0.000389278
          15   -0.934916    -0.93513 0.000363628
          16    -0.93347   -0.935027 0.000355402
          17   -0.936046   -0.935087 0.000339512
          18   -0.935647   -0.935118 0.000322076
          19   -0.934334   -0.935076 0.000307757
          20   -0.937416   -0.935193 0.000313807
