#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.425766    0.425766           0
           2    0.428377    0.427072  0.00092293
           3    0.423862    0.426002  0.00106848
           4    0.427062    0.426267 0.000833588
           5    0.424801    0.425974  0.00071657
           6    0.427815    0.426281 0.000659565
           7    0.436545    0.427747  0.00147061
           8    0.433246    0.428434   0.0014385
           9    0.419509    0.427443  0.00158406
          10    0.428069    0.427505   0.0014269
          11    0.416917    0.426543  0.00158902
          12    0.412331    0.425358  0.00184592
          13    0.426314    0.425432  0.00170539
          14    0.427661    0.425591  0.00159099
          15    0.424903    0.425545  0.00148559
          16    0.424164    0.425459  0.00139524
          17    0.425041    0.425434  0.00131338
          18    0.416484    0.424937  0.00133122
          19    0.433901    0.425409  0.00134215
          20     0.42987    0.425632  0.00129344
