#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.52251     2.52251           0
           2     2.52742     2.52497  0.00173458
           3     2.53114     2.52702  0.00203995
           4     2.54472     2.53145  0.00412493
           5     2.55101     2.53536  0.00480975
           6     2.51825     2.53251  0.00477937
           7     2.52767     2.53182  0.00414631
           8     2.51261     2.52942  0.00426683
           9       2.531     2.52959  0.00379638
          10     2.53353     2.52998  0.00343706
          11     2.53667     2.53059  0.00317793
          12     2.52789     2.53037  0.00292109
          13      2.5345     2.53069  0.00271359
          14     2.54358     2.53161  0.00267142
          15     2.53763     2.53201  0.00252338
          16     2.50688     2.53044  0.00281233
          17     2.51689     2.52964  0.00275753
          18      2.5109      2.5286  0.00279395
          19     2.53584     2.52898  0.00267276
          20      2.5116     2.52811  0.00267671
