#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.29388     0.29388           0
           2     0.29381    0.293845 2.46514e-05
           3    0.293788    0.293826 2.26527e-05
           4    0.293942    0.293855  3.0399e-05
           5    0.293111    0.293706 0.000135245
           6    0.292395    0.293488 0.000229153
           7    0.293243    0.293453 0.000199066
           8    0.292474    0.293331 0.000208386
           9    0.292035    0.293187 0.000229617
          10    0.293513    0.293219 0.000208963
          11    0.295857    0.293459 0.000297275
          12    0.293085    0.293428 0.000274128
          13    0.294346    0.293499 0.000261974
          14    0.294224     0.29355 0.000248335
          15    0.293292    0.293533 0.000232376
          16    0.293264    0.293516 0.000218458
          17    0.292648    0.293465 0.000211501
          18    0.293706    0.293479 0.000200173
          19    0.291752    0.293388  0.00020926
          20    0.292991    0.293368 0.000199737
