#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682171   -0.682171           0
           2   -0.681014   -0.681592 0.000409132
           3   -0.682023   -0.681736 0.000296909
           4   -0.682902   -0.682027 0.000336712
           5   -0.681767   -0.681975 0.000273377
           6   -0.682495   -0.682062 0.000241133
           7   -0.682262   -0.682091 0.000208379
           8   -0.681764    -0.68205 0.000186277
           9   -0.681453   -0.681984 0.000176982
          10   -0.682254   -0.682011 0.000161332
          11   -0.682429   -0.682049 0.000151088
          12   -0.682773   -0.682109  0.00015008
          13   -0.681638   -0.682073 0.000142848
          14   -0.681644   -0.682042 0.000135881
          15   -0.681779   -0.682025 0.000127948
          16   -0.681715   -0.682005 0.000121404
          17   -0.681948   -0.682002 0.000114309
          18   -0.681291   -0.681962 0.000114574
          19   -0.682314   -0.681981 0.000110029
          20   -0.682299   -0.681997 0.000105672
