#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.370064    0.370064           0
           2    0.371509    0.370786 0.000510749
           3    0.370965    0.370846 0.000343932
           4     0.37235    0.371222 0.000415399
           5    0.370515     0.37108 0.000355562
           6    0.371221    0.371104 0.000297068
           7    0.368844    0.370781 0.000392588
           8    0.373149    0.371077 0.000441177
           9     0.37063    0.371027 0.000394942
          10    0.369308    0.370855 0.000391081
          11     0.37213    0.370971 0.000372287
          12    0.367316    0.370667 0.000448884
          13    0.370594    0.370661  0.00041439
          14    0.371543    0.370724 0.000389548
          15    0.373388    0.370902 0.000402026
          16    0.369993    0.370845 0.000380885
          17    0.370933     0.37085 0.000358515
          18    0.371782    0.370902 0.000342317
          19    0.370469    0.370879 0.000325059
          20    0.373072    0.370989 0.000326777
