#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.283696    0.283696           0
           2    0.287494    0.285595  0.00134287
           3    0.281421    0.284204  0.00144635
           4    0.304908     0.28938  0.00461194
           5    0.278971    0.287298  0.00413273
           6    0.293135    0.288271  0.00355659
           7    0.297159    0.289541  0.00326731
           8    0.290558    0.289668  0.00286137
           9    0.306052    0.291488  0.00306837
          10    0.297828    0.292122  0.00282627
          11    0.287102    0.291666  0.00260592
          12    0.279689    0.290668  0.00257279
          13    0.279216    0.289787  0.00252118
          14    0.279797    0.289073  0.00243999
          15    0.287255    0.288952  0.00228033
          16    0.284262    0.288659  0.00215657
          17    0.310806    0.289962  0.00239103
          18    0.294043    0.290188  0.00226892
          19    0.292785    0.290325  0.00215362
          20    0.284461    0.290032   0.0020658
