#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.934047   -0.934047           0
           2   -0.935167   -0.934607  0.00039598
           3   -0.933597   -0.934271 0.000381119
           4   -0.935112   -0.934481 0.000338915
           5   -0.934023   -0.934389 0.000283219
           6   -0.937432   -0.934896 0.000519627
           7   -0.936326   -0.935101 0.000483888
           8   -0.937144   -0.935356 0.000486136
           9    -0.93567   -0.935391 0.000433368
          10   -0.936055   -0.935457  0.00039509
          11   -0.934183   -0.935341 0.000375778
          12   -0.935034   -0.935316 0.000345334
          13   -0.936573   -0.935413 0.000332037
          14   -0.935508   -0.935419  0.00030839
          15   -0.933242   -0.935274 0.000320187
          16   -0.934914   -0.935252 0.000300964
          17   -0.936672   -0.935335 0.000294622
          18   -0.936291   -0.935388 0.000282997
          19   -0.935311   -0.935384 0.000268131
          20   -0.934556   -0.935343 0.000257906
