#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     43.6081     43.6081           0
           2     44.4013     44.0047    0.280448
           3     43.0716     43.6937    0.315357
           4     44.0109      43.773     0.24629
           5     43.9334     43.8051     0.19911
           6     46.0304      44.176    0.377041
           7     44.8714     44.2753    0.336014
           8     45.9015     44.4786    0.350143
           9     44.5355     44.4849    0.311295
          10     44.7587     44.5123    0.281367
          11     43.5524      44.425    0.268979
          12     44.0841     44.3966     0.24806
          13     45.4687     44.4791    0.242299
          14     45.1281     44.5254    0.229384
          15      43.001     44.4238    0.235531
          16     44.3168     44.4171    0.220905
          17     45.2737     44.4675     0.21358
          18     45.2077     44.5086    0.205635
          19     44.3154     44.4985    0.195064
          20      43.748     44.4609    0.188885
