#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.425963    0.425963           0
           2    0.424858    0.425411 0.000390486
           3    0.424868     0.42523 0.000299243
           4     0.41523     0.42273  0.00217664
           5    0.428012    0.423786  0.00198116
           6    0.424284    0.423869   0.0016527
           7    0.420117    0.423333  0.00150102
           8    0.426047    0.423672  0.00135118
           9    0.421098    0.423386  0.00123096
          10    0.425923     0.42364   0.0011337
          11    0.422262    0.423515  0.00103753
          12    0.422775    0.423453 0.000952901
          13    0.421856     0.42333 0.000887488
          14     0.42967    0.423783 0.000932507
          15    0.429985    0.424197 0.000957624
          16    0.425835    0.424299 0.000903228
          17    0.418104    0.423935 0.000920687
          18     0.42326    0.423897 0.000870299
          19    0.418753    0.423626 0.000865587
          20     0.41697    0.423293 0.000883982
