#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682814   -0.682814           0
           2    -0.68302   -0.682917 7.26906e-05
           3   -0.682793   -0.682876  5.9054e-05
           4   -0.681588   -0.682554 0.000282413
           5   -0.682002   -0.682443 0.000246552
           6    -0.68211   -0.682388 0.000211645
           7   -0.682062   -0.682341  0.00018647
           8   -0.681072   -0.682183 0.000220556
           9   -0.683092   -0.682284 0.000217991
          10   -0.681933   -0.682249 0.000198989
          11   -0.681295   -0.682162 0.000198881
          12   -0.683122   -0.682242 0.000197759
          13   -0.681731   -0.682203 0.000186409
          14    -0.68198   -0.682187 0.000173769
          15   -0.681889   -0.682167 0.000163316
          16   -0.682498   -0.682188 0.000154417
          17   -0.682272   -0.682193 0.000145412
          18   -0.681874   -0.682175 0.000138404
          19   -0.682942   -0.682215 0.000136876
          20   -0.682366   -0.682223 0.000130239
