#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.367396    0.367396           0
           2    0.370168    0.368782 0.000979938
           3    0.374137    0.370567  0.00159715
           4    0.369271    0.370243  0.00123027
           5    0.367991    0.369793  0.00106348
           6    0.369772    0.369789  0.00088624
           7    0.373079    0.370259  0.00087543
           8    0.370258    0.370259 0.000766001
           9     0.37056    0.370292  0.00068162
          10     0.37126    0.370389  0.00062029
          11    0.372797    0.370608 0.000601291
          12    0.372161    0.370738 0.000564945
          13    0.371978    0.370833 0.000529485
          14    0.371192    0.370859 0.000492284
          15    0.373001    0.371001 0.000479728
          16    0.370108    0.370946 0.000452986
          17    0.371333    0.370968 0.000426912
          18    0.370618    0.370949 0.000403639
          19    0.369964    0.370897 0.000385709
          20    0.372607    0.370983 0.000375777
