#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      4.4253      4.4253           0
           2     4.44105     4.43318  0.00556776
           3     4.43935     4.43524  0.00407477
           4     4.34711      4.4132   0.0193233
           5     4.44131     4.41883   0.0162557
           6     4.45917     4.42555   0.0148719
           7     4.47613     4.43277   0.0143961
           8     4.35847     4.42349   0.0153022
           9     4.42797     4.42398   0.0136101
          10     4.36133     4.41772   0.0136152
          11      4.3619     4.41264   0.0132895
          12     4.47279     4.41766   0.0130932
          13     4.37583     4.41444    0.012475
          14     4.40444     4.41372   0.0116044
          15     4.40434      4.4131   0.0108476
          16     4.41745     4.41337   0.0101731
          17      4.3876     4.41185  0.00968693
          18      4.3843     4.41032  0.00926893
          19     4.44837     4.41233  0.00899476
          20     4.42288     4.41285  0.00856049
