#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.877619    0.877619           0
           2     0.91344    0.895529   0.0126644
           3    0.891641    0.894233  0.00850903
           4    0.902421     0.89628  0.00662339
           5    0.879361    0.892896  0.00610213
           6    0.902439    0.894487  0.00528831
           7    0.893065    0.894284  0.00453673
           8    0.876059    0.892005  0.00450545
           9    0.908168    0.893801  0.00434806
          10    0.875617    0.891983  0.00427662
          11    0.896577    0.892401  0.00390818
          12    0.901011    0.893118  0.00364777
          13     0.88611    0.892579  0.00340677
          14    0.887147    0.892191  0.00318545
          15    0.889119    0.891986  0.00297966
          16    0.872096    0.890743  0.00304173
          17    0.897556    0.891144  0.00288908
          18    0.890014    0.891081  0.00272926
          19    0.895605    0.891319  0.00259598
          20    0.894907    0.891499  0.00247237
