#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.043349    0.043349           0
           2   0.0411286   0.0422388  0.00078503
           3   0.0457276   0.0434017  0.00108421
           4   0.0447398   0.0437362  0.00086322
           5   0.0416964   0.0433283 0.000781055
           6   0.0472688    0.043985 0.000884919
           7    0.044395   0.0440436 0.000760437
           8   0.0466246   0.0443662 0.000730623
           9   0.0440876   0.0443353 0.000650098
          10   0.0441944   0.0443212 0.000585241
          11   0.0446264   0.0443489 0.000532695
          12   0.0433214   0.0442633 0.000495138
          13   0.0423846   0.0441188 0.000477675
          14   0.0448442   0.0441706 0.000446357
          15   0.0453152   0.0442469 0.000423072
          16    0.041161    0.044054 0.000438393
          17     0.04347   0.0440197 0.000413949
          18   0.0453234   0.0440921 0.000397238
          19     0.04264   0.0440157 0.000383613
          20   0.0419398   0.0439119 0.000378213
