0 0 0
1 1 0
2 1.40766 0.00358707
3 1.72166 0.00573962
4 1.99457 0.00727001
5 2.23808 0.00883269
6 2.46042 0.00944974
7 2.65256 0.0100588
8 2.83501 0.0110958
9 3.00704 0.0120519
10 3.16644 0.0129167
11 3.31911 0.0144011
12 3.45959 0.0144461
13 3.60764 0.0144018
14 3.74612 0.0140541
15 3.86759 0.0144055
16 3.99523 0.0146746
17 4.11931 0.0153269
18 4.24772 0.0152625
19 4.36874 0.0165235
20 4.48806 0.0167184
21 4.5965 0.0174934
22 4.70013 0.0172512
23 4.80025 0.0181528
24 4.9021 0.0190223
25 5.01355 0.0190471
26 5.11523 0.0189865
27 5.21752 0.0187827
28 5.30734 0.0181972
29 5.40097 0.0185252
30 5.49121 0.0175387
31 5.59255 0.0178832
32 5.67777 0.0184604
33 5.76186 0.0189608
34 5.85249 0.0202958
35 5.9358 0.0210382
36 6.013 0.02032
37 6.09281 0.0219231
38 6.16857 0.0233445
39 6.25234 0.0231728
40 6.33316 0.0240127
41 6.41684 0.0242336
42 6.49284 0.0250267
43 6.5692 0.0249084
44 6.6513 0.0239947
45 6.71823 0.0248197
46 6.79233 0.0261985
47 6.87159 0.0266676
48 6.93923 0.0271697
49 7.01595 0.0272199
50 7.08517 0.0280298
51 7.15681 0.028329
52 7.23 0.0301921
53 7.2945 0.0305474
54 7.36103 0.031819
55 7.43194 0.0311457
56 7.48784 0.032281
57 7.55651 0.032398
58 7.62095 0.0327268
59 7.69082 0.0329437
60 7.74923 0.0340356
61 7.82058 0.0348017
62 7.88285 0.0353615
63 7.94796 0.0357169
64 8.01081 0.0359852
65 8.07854 0.0358129
66 8.14489 0.0361335
67 8.20213 0.035754
68 8.26042 0.0359317
69 8.32483 0.0368741
70 8.38269 0.0370101
71 8.44539 0.0378215
72 8.50093 0.0382292
73 8.56064 0.0379313
74 8.6272 0.0378408
75 8.68622 0.0374174
76 8.73795 0.0370784
77 8.80233 0.0369412
78 8.86086 0.0363771
79 8.91375 0.0362363
80 8.96813 0.0360535
81 9.02684 0.0355626
82 9.07994 0.03662
83 9.14171 0.0380685
84 9.20359 0.0383059
85 9.25845 0.0381892
86 9.31583 0.0385444
87 9.37014 0.0389474
88 9.43528 0.0387879
89 9.48995 0.0406456
90 9.53957 0.0400784
91 9.59254 0.0399935
92 9.65242 0.0395469
93 9.70025 0.0407921
94 9.75396 0.0405957
95 9.80755 0.0412007
96 9.86141 0.0420771
97 9.911 0.0425409
98 9.95627 0.0426243
99 9.9996 0.0416625
