#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152     -5.4259    -5.44226   0.0011114
         153    -5.44097    -5.44225  0.00110416
         154    -5.45049    -5.44231  0.00109829
         155    -5.44195     -5.4423  0.00109121
         156    -5.43419    -5.44225  0.00108545
         157    -5.45792    -5.44235  0.00108311
         158    -5.44782    -5.44239  0.00107681
         159    -5.46157    -5.44251  0.00107678
         160    -5.42138    -5.44238  0.00107811
         161    -5.45073    -5.44243  0.00107267
         162    -5.45542    -5.44251  0.00106904
         163    -5.46236    -5.44263  0.00106939
         164     -5.4622    -5.44275  0.00106951
         165     -5.4112    -5.44256  0.00107998
         166     -5.4435    -5.44256  0.00107349
         167    -5.44475    -5.44258  0.00106714
         168    -5.45547    -5.44265  0.00106355
         169    -5.43698    -5.44262  0.00105778
         170    -5.45337    -5.44268  0.00105345
         171    -5.44282    -5.44268  0.00104729
         172     -5.4437    -5.44269  0.00104122
         173    -5.43675    -5.44266  0.00103576
         174    -5.43541    -5.44261  0.00103065
         175    -5.43805    -5.44259  0.00102509
         176    -5.44425     -5.4426  0.00101931
         177    -5.45367    -5.44266  0.00101547
         178    -5.45194    -5.44271   0.0010111
         179     -5.4521    -5.44276  0.00100681
         180    -5.45759    -5.44285  0.00100458
         181    -5.43785    -5.44282 0.000999412
         182    -5.44222    -5.44282 0.000993926
         183    -5.44551    -5.44283 0.000988603
         184    -5.44797    -5.44286 0.000983625
         185     -5.4411    -5.44285 0.000978354
         186    -5.43125    -5.44279  0.00097508
         187    -5.43255    -5.44273 0.000971401
         188    -5.45024    -5.44277 0.000967054
         189    -5.44537    -5.44279 0.000962034
         190    -5.42867    -5.44271 0.000959836
         191    -5.45646    -5.44278 0.000957506
         192    -5.45368    -5.44284   0.0009542
         193    -5.44067    -5.44283 0.000949322
         194    -5.47254    -5.44298 0.000956705
         195    -5.44882    -5.44301 0.000952267
         196    -5.47518    -5.44318 0.000961444
         197    -5.43123    -5.44312 0.000958473
         198    -5.44124    -5.44311 0.000953679
         199    -5.42969    -5.44304 0.000951267
         200     -5.4632    -5.44314 0.000951835
         201    -5.44194    -5.44313 0.000947118
         202    -5.46648    -5.44325 0.000949456
         203    -5.43171    -5.44319 0.000946479
         204    -5.43463    -5.44315 0.000942771
         205    -5.42913    -5.44308 0.000940647
         206    -5.41893    -5.44296 0.000943357
         207    -5.43844    -5.44294 0.000939054
         208    -5.43777    -5.44292 0.000934868
         209    -5.44563    -5.44293 0.000930485
         210    -5.44329    -5.44293 0.000926056
         211    -5.47225    -5.44307 0.000932035
         212    -5.46922    -5.44319 0.000935763
         213    -5.45042    -5.44323 0.000931985
         214    -5.46262    -5.44332 0.000932027
         215    -5.45006    -5.44335  0.00092822
         216    -5.44664    -5.44337 0.000924047
         217    -5.43804    -5.44334 0.000920114
         218    -5.43139    -5.44329 0.000917526
         219    -5.45864    -5.44336  0.00091601
         220    -5.44567    -5.44337 0.000911907
         221    -5.43467    -5.44333 0.000908631
         222    -5.43146    -5.44327  0.00090611
         223    -5.45006     -5.4433 0.000902558
         224    -5.47155    -5.44343 0.000907297
         225    -5.43575     -5.4434 0.000903907
         226    -5.42926    -5.44333 0.000902068
         227    -5.45177    -5.44337 0.000898859
         228    -5.44075    -5.44336  0.00089499
         229    -5.43571    -5.44333 0.000891704
         230    -5.41357     -5.4432 0.000897167
         231    -5.44934    -5.44322 0.000893676
         232    -5.46797    -5.44333 0.000896166
         233    -5.42269    -5.44324 0.000896688
         234    -5.40638    -5.44308  0.00090659
         235    -5.45264    -5.44312 0.000903645
         236    -5.44017    -5.44311 0.000899903
         237    -5.44713    -5.44313 0.000896265
         238    -5.44473    -5.44314 0.000892524
         239    -5.44636    -5.44315 0.000888892
         240    -5.44044    -5.44314  0.00088526
         241    -5.44567    -5.44315 0.000881649
         242    -5.42451    -5.44307 0.000881364
         243    -5.43521    -5.44304  0.00087833
         244    -5.44853    -5.44306 0.000875019
         245    -5.45017    -5.44309 0.000871928
         246    -5.45496    -5.44314 0.000869718
         247    -5.43728    -5.44312  0.00086652
         248    -5.41856    -5.44302 0.000868664
         249    -5.45479    -5.44306 0.000866462
         250    -5.42672      -5.443 0.000865459
