# DISTANCE:     AVE_GOFR:        ERROR:
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000486038 0.000116433
    0.910562   0.0242513  0.00193426
    0.936212    0.179897  0.00562783
    0.961861    0.594213  0.00628134
    0.987511     1.24359   0.0101999
     1.01316     1.88763   0.0140732
     1.03881     2.34102   0.0251218
     1.06446     2.55637  0.00738109
     1.09011     2.55155   0.0143888
     1.11576     2.36604   0.0231756
     1.14141     2.14306   0.0134533
     1.16706     1.93688  0.00995332
     1.19271     1.75327   0.0115893
     1.21836     1.53562   0.0193202
     1.24401     1.36639   0.0146155
     1.26966     1.23913   0.0148887
     1.29531     1.12553   0.0125944
     1.32096     1.02963   0.0106555
     1.34661    0.949872  0.00989706
     1.37226    0.880083  0.00216571
     1.39791    0.805997  0.00450921
     1.42355    0.780507  0.00516387
      1.4492     0.74266   0.0168482
     1.47485    0.725902   0.0114232
      1.5005    0.699132  0.00654463
     1.52615    0.675654  0.00904506
      1.5518     0.66871  0.00645829
     1.57745    0.681054  0.00407857
      1.6031    0.676979  0.00515802
     1.62875    0.686464  0.00696888
      1.6544    0.710631  0.00785663
     1.68005    0.738908  0.00640057
      1.7057    0.769289  0.00528972
     1.73135    0.772429  0.00822015
       1.757    0.813369  0.00773643
     1.78265    0.848178   0.0121794
      1.8083    0.874311  0.00798103
     1.83395    0.926085  0.00652176
      1.8596    0.977001   0.0056177
     1.88525     1.04172  0.00824509
      1.9109     1.06895  0.00977437
     1.93655     1.10758   0.0074238
      1.9622     1.12329  0.00552888
     1.98785     1.16136  0.00454883
      2.0135     1.18591  0.00374167
     2.03915     1.21174   0.0172873
      2.0648     1.22351   0.0134821
     2.09045     1.21145   0.0121664
      2.1161     1.19661  0.00824102
     2.14174     1.18225   0.0069191
     2.16739     1.17208   0.0149156
     2.19304     1.13795   0.0133119
     2.21869     1.11572  0.00714801
     2.24434     1.08228  0.00735066
