#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168      1.3899      1.5048  0.00564852
         169     1.50573     1.50481   0.0056151
         170     1.47328     1.50462  0.00558513
         171     1.49259     1.50455  0.00555291
         172     1.42093     1.50406  0.00554187
         173     1.56877     1.50444  0.00552244
         174     1.54097     1.50465  0.00549469
         175     1.61003     1.50525  0.00549619
         176     1.53453     1.50542  0.00546748
         177     1.42487     1.50496  0.00545549
         178     1.47026     1.50477  0.00542833
         179     1.52994     1.50491  0.00539982
         180     1.49304     1.50484  0.00537023
         181     1.48957     1.50476  0.00534122
         182      1.4768      1.5046  0.00531408
         183     1.56569     1.50494  0.00529551
         184     1.55407      1.5052  0.00527346
         185     1.46974     1.50501  0.00524844
         186     1.63327      1.5057  0.00526532
         187     1.54664     1.50592  0.00524172
         188     1.39424     1.50533  0.00524739
         189     1.50809     1.50534  0.00521965
         190     1.61132      1.5059  0.00522189
         191     1.42853     1.50549  0.00521024
         192     1.46482     1.50528  0.00518741
         193     1.49071     1.50521  0.00516108
         194     1.34508     1.50438  0.00520006
         195     1.41376     1.50392  0.00519412
         196     1.32162     1.50299  0.00525023
         197     1.56731     1.50331  0.00523372
         198     1.61513     1.50388  0.00523767
         199     1.58186     1.50427  0.00522599
         200     1.48398     1.50417  0.00520084
         201      1.5666     1.50448  0.00518423
         202     1.40781       1.504  0.00518061
         203     1.61073     1.50453   0.0051817
         204     1.54981     1.50475  0.00516105
         205     1.53106     1.50488  0.00513747
         206     1.66013     1.50563  0.00516751
         207     1.48565     1.50553  0.00514345
         208     1.53613     1.50568  0.00512082
         209     1.51149     1.50571   0.0050964
         210     1.50188     1.50569  0.00507216
         211     1.36448     1.50502  0.00509208
         212     1.32315     1.50416  0.00513982
         213     1.51661     1.50422  0.00511602
         214     1.45907     1.50401  0.00509646
         215     1.45736     1.50379  0.00507738
         216     1.45514     1.50357  0.00505886
         217      1.5125     1.50361  0.00503572
         218     1.53353     1.50375  0.00501449
         219     1.48976     1.50368    0.004992
         220     1.50497     1.50369  0.00496931
         221     1.50641      1.5037  0.00494684
         222     1.55865     1.50395  0.00493074
         223     1.42528      1.5036  0.00492124
         224     1.43334     1.50328  0.00490925
         225     1.52779     1.50339  0.00488864
         226     1.57499     1.50371  0.00487726
         227     1.46344     1.50353    0.004859
         228     1.48787     1.50346  0.00483818
         229     1.51407     1.50351  0.00481727
         230     1.63097     1.50406  0.00482809
         231     1.47784     1.50395  0.00480853
         232     1.34385     1.50326  0.00483707
         233     1.66254     1.50394  0.00486438
