#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.648318    0.648318           0
           2     0.65224    0.650279  0.00138678
           3    0.669907    0.656822  0.00542137
           4    0.692711    0.665794  0.00876976
           5    0.683237    0.669282  0.00767839
           6    0.704859    0.675212  0.00838103
           7    0.654762     0.67229  0.00767603
           8     0.67908    0.673139  0.00676328
           9    0.625371    0.667832  0.00782191
          10     0.68479    0.669527  0.00722121
          11    0.654792    0.668188  0.00668783
          12    0.678747    0.669068  0.00618813
          13    0.675727     0.66958  0.00573328
          14    0.658293    0.668774  0.00538015
          15    0.708519    0.671423  0.00563632
          16    0.667625    0.671186  0.00528904
          17    0.672454    0.671261  0.00497845
          18    0.686415    0.672103  0.00477252
          19    0.690702    0.673081  0.00462065
          20    0.662371    0.672546  0.00442054
