# Generation                                                Route                                                 L(1)
      41       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 33 31 12 10 34 11 24 26      15.5725
      42       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      43       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      44       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      45       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      46       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      47       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      48       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      49       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      50       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      51       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      52       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      53       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      54       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      55       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      56       1 14 20 17 22 28 9 21 7 32 8 2 16 29 12 31 4 5 6 15 23 13 27 30 19 3 18 25 33 10 34 11 24 26       15.192
      57       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.7933
      58       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.7933
      59       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.7933
      60       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.7933
      61       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.7933
      62       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.7933
      63       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.7933
      64       1 14 20 17 22 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.7933
      65       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.4013
      66       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 19 30 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.4013
      67       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.3994
      68       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.3994
      69       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.3994
      70       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.3994
      71       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.3994
      72       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 12 33 10 34 11 24 26      14.3994
      73       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 26      14.3007
      74       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 26      14.3007
      75       1 14 20 22 17 28 9 21 7 32 8 2 16 29 25 18 3 30 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 26      14.3007
      76       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      77       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      78       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      79       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      80       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      81       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      82       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      83       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      84       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      85       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      86       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      87       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      88       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      89       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      90       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      91       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      92       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 12 10 34 11 24 9 21 7 32 8 2 16 29 25 18 3 30 26      14.1587
      93       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 8 32 7 21 9 24 11 34 10 12 33 2 16 29 25 18 3 30 26      14.0471
      94       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 8 32 7 21 9 24 11 34 10 12 2 16 29 25 18 3 30 26      13.5793
      95       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 8 32 7 21 9 24 11 34 10 12 2 16 29 25 18 3 30 26      13.5793
      96       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 8 32 7 21 9 24 11 34 10 12 2 16 29 25 18 3 30 26      13.5793
      97       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 8 32 7 21 9 24 11 34 10 12 2 16 29 25 18 3 30 26      13.5793
      98       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 33 8 32 7 21 9 24 11 34 10 12 2 16 29 25 18 3 30 26      13.5793
      99       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 2 12 10 34 11 24 9 21 7 32 8 33 31 25 18 3 30 26      13.2725
     100       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 33 8 32 7 21 9 24 11 34 10 12 2 25 18 3 30 26      13.0677
     101       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 29 16 2 12 10 33 8 32 7 21 9 24 11 34 25 18 3 30 26      12.9899
     102       1 14 20 22 17 28 19 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 7 21 9 24 11 34 25 18 3 30 26      12.8296
     103       1 14 20 22 17 28 19 27 13 23 15 6 5 4 31 29 16 2 12 10 33 8 32 34 11 24 9 21 7 25 18 3 30 26      12.7786
