# Generation                                                Route                                                 L(1)
      41       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 23 29 14 21      13.3781
      42       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 23 29 14 21      13.3781
      43       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 29 23 14 21      13.1164
      44       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 29 23 14 21      13.1164
      45       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 29 23 14 21      13.1164
      46       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 29 23 14 21      13.1164
      47       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 29 23 14 21      13.1164
      48       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 29 23 14 21      13.1164
      49       1 24 4 17 30 15 2 8 19 10 12 13 26 22 33 32 20 34 27 5 31 25 18 6 16 3 7 9 28 11 29 23 14 21      13.1164
      50       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 27 5 31 25 18 6 16 33 7 9 28 11 29 23 14 21      12.8348
      51       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 27 5 31 25 18 6 16 33 7 9 28 11 29 23 14 21      12.8348
      52       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 27 5 31 25 18 6 16 33 7 9 28 11 29 23 14 21      12.8348
      53       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 27 5 31 25 18 6 16 33 7 9 28 11 29 23 14 21      12.8348
      54       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 27 5 31 25 18 6 16 33 7 9 28 11 29 23 14 21      12.8348
      55       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 27 5 31 25 18 6 16 33 7 9 28 11 29 23 14 21      12.8348
      56       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 28 5 31 25 18 6 16 33 7 9 27 11 29 23 14 21      12.8319
      57       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 28 5 31 27 25 18 6 16 33 7 9 11 29 23 14 21      12.6724
      58       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 28 27 5 31 25 18 6 16 33 7 9 11 29 23 14 21      12.6723
      59       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 28 27 5 31 25 18 6 16 33 7 9 11 29 23 14 21      12.6723
      60       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 28 27 5 31 25 18 6 16 33 7 9 11 29 23 14 21      12.6723
      61       1 24 4 17 30 15 2 8 19 10 12 13 26 22 3 32 20 34 28 27 5 31 25 18 6 16 33 7 9 11 29 23 14 21      12.6723
      62       1 24 4 17 30 23 29 11 9 7 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 2 15 14 21       11.925
      63       1 15 2 24 4 17 30 23 29 11 9 7 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21       10.909
      64       1 15 2 24 4 17 30 23 29 11 9 7 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21       10.909
      65       1 15 2 24 4 17 30 23 29 11 9 7 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21       10.909
      66       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      67       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      68       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      69       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      70       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      71       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      72       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      73       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      74       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      75       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 14 21      10.7812
      76       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      77       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      78       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      79       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      80       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      81       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      82       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      83       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      84       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      85       1 15 2 24 4 17 30 23 29 11 7 9 33 16 6 18 25 31 5 27 28 34 20 32 3 22 26 13 12 10 19 8 21 14      10.7751
      86       1 15 2 24 4 17 30 23 29 11 32 9 33 16 6 18 25 31 5 27 28 34 20 7 3 22 26 13 12 10 19 8 21 14      10.4338
      87       1 15 2 24 4 17 30 23 29 11 32 9 33 16 6 18 25 31 5 27 28 34 20 7 3 22 26 13 12 10 19 8 21 14      10.4338
      88       1 15 2 24 29 17 23 30 4 11 32 9 33 16 6 18 25 31 5 27 28 34 20 7 3 22 26 13 12 10 19 8 21 14      9.81278
      89       1 15 2 24 4 17 30 23 29 11 32 9 33 16 6 18 25 31 5 27 28 34 20 7 3 22 26 13 12 10 19 14 21 8       9.6322
      90       1 15 2 24 29 17 23 30 4 11 32 9 33 16 6 18 25 31 5 27 28 34 20 7 3 22 26 13 12 10 19 14 21 8      9.01119
      91       1 15 2 24 29 17 23 30 4 11 32 9 33 16 6 18 25 31 5 27 28 34 20 7 3 22 26 13 12 10 19 14 21 8      9.01119
      92       1 15 2 24 29 17 23 30 4 11 32 9 33 16 6 18 25 31 5 27 28 34 20 7 3 22 26 13 12 10 19 14 21 8      9.01119
      93       1 15 2 24 29 17 23 30 4 11 32 9 33 16 6 18 25 31 5 27 28 34 20 7 3 22 26 13 12 10 19 14 21 8      9.01119
      94       1 15 2 24 29 17 23 30 4 11 32 9 33 16 6 18 25 27 5 31 28 34 20 7 3 22 26 13 12 10 19 14 21 8      9.01118
      95       1 15 2 24 29 17 23 30 4 11 32 9 33 16 6 18 25 27 5 31 28 34 20 7 3 22 26 13 12 10 19 14 21 8      9.01118
      96       1 15 2 24 29 17 23 30 4 11 32 9 33 16 6 18 25 27 5 31 28 34 20 7 3 22 26 13 12 10 19 14 21 8      9.01118
      97       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 6 16 33 9 32 28 34 20 7 3 22 26 13 12 10 19 14 21 8      8.80921
      98       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 6 16 32 9 33 28 34 20 7 3 22 26 13 12 10 19 14 21 8      8.79888
      99       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 6 16 32 9 33 28 34 20 7 3 22 26 13 12 10 19 14 21 8      8.79888
     100       1 15 2 24 29 17 23 30 4 11 31 5 27 25 18 6 16 32 33 9 28 34 20 7 3 22 26 13 12 10 19 14 21 8      8.77795
