#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.4305     24.4305           0
           2     24.6234     24.5269   0.0681988
           3     25.0448     24.6995    0.148087
           4      24.849     24.7369    0.115683
           5     24.6578     24.7211   0.0936208
           6     24.6389     24.7074   0.0790125
           7     24.5749     24.6885   0.0699558
           8      25.061      24.735   0.0751282
           9     24.5495     24.7144   0.0695525
          10     24.7114     24.7141   0.0625979
          11     24.7802     24.7201   0.0571951
          12     25.0682     24.7491   0.0593298
          13      24.519     24.7314   0.0573457
          14     23.6919     24.6572   0.0891927
          15     25.0921     24.6862   0.0878333
          16     24.0804     24.6483   0.0901359
          17     24.2263     24.6235   0.0881854
          18     23.9353     24.5852   0.0911981
          19     24.7594     24.5944   0.0868574
          20     25.0672     24.6181   0.0856715
