#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.432772    0.432772           0
           2    0.433361    0.433067 0.000208166
           3    0.429473    0.431869  0.00098783
           4    0.433196    0.432201 0.000794653
           5     0.43035    0.431831 0.000716779
           6    0.431192    0.431724 0.000605175
           7    0.431336    0.431669 0.000521256
           8    0.433008    0.431836 0.000482255
           9    0.430608      0.4317 0.000447575
          10    0.429796    0.431509  0.00044145
          11     0.43218     0.43157 0.000405506
          12    0.434002    0.431773 0.000419287
          13    0.437465    0.432211 0.000571618
          14    0.424676    0.431672 0.000742071
          15    0.433592      0.4318 0.000703545
          16    0.436301    0.432082 0.000713599
          17    0.418793      0.4313    0.001013
          18     0.42618    0.431016 0.000995856
          19    0.429428    0.430932  0.00094694
          20    0.445159    0.431643  0.00113579
