#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892192   -0.892192           0
           2   -0.892174   -0.892183  6.6468e-06
           3   -0.892679   -0.892348 0.000135121
           4   -0.892406   -0.892363 0.000102105
           5   -0.892166   -0.892323 8.89477e-05
           6   -0.891927   -0.892257 9.55439e-05
           7   -0.892382   -0.892275 8.35468e-05
           8   -0.892721   -0.892331 8.97941e-05
           9    -0.89252   -0.892352 8.22359e-05
          10   -0.892577   -0.892374 7.70236e-05
          11   -0.891561   -0.892301 9.93599e-05
          12   -0.892446   -0.892313 9.18203e-05
          13   -0.891627    -0.89226 9.87594e-05
          14   -0.890596   -0.892141 0.000146699
          15   -0.892392   -0.892158 0.000137866
          16   -0.890152   -0.892032 0.000177311
          17   -0.892054   -0.892034 0.000166885
          18    -0.89139   -0.891998 0.000161395
          19   -0.892424    -0.89202 0.000154451
          20   -0.891579   -0.891998 0.000148295
