#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.345013    0.345013           0
           2    0.343112    0.344063 0.000671934
           3    0.347729    0.345285  0.00109375
           4    0.346472    0.345581  0.00085965
           5    0.345515    0.345568 0.000687823
           6    0.345163    0.345501 0.000576496
           7    0.344982    0.345427  0.00049888
           8    0.344859    0.345356 0.000441529
           9    0.343623    0.345163 0.000432393
          10    0.346239    0.345271 0.000402307
          11    0.344606     0.34521 0.000370242
          12    0.341934    0.344937 0.000428384
          13    0.344542    0.344907 0.000396511
          14    0.346876    0.345047 0.000392334
          15    0.347663    0.345222 0.000403077
          16    0.344158    0.345155 0.000383333
          17    0.344664    0.345126 0.000361873
          18     0.34608    0.345179 0.000345626
          19    0.343441    0.345088 0.000339331
          20    0.345482    0.345108 0.000322936
