#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.646612   -0.646612           0
           2   -0.646273   -0.646442 0.000119925
           3   -0.646913   -0.646599 0.000151032
           4   -0.646594   -0.646598 0.000113279
           5   -0.646649   -0.646608 9.10833e-05
           6   -0.645895   -0.646489 0.000132462
           7   -0.646427   -0.646481 0.000113837
           8   -0.645403   -0.646346  0.00016059
           9   -0.647195    -0.64644 0.000168206
          10   -0.646242    -0.64642 0.000152553
          11   -0.645997   -0.646382 0.000143462
          12   -0.646626   -0.646402 0.000132947
          13   -0.646602   -0.646418 0.000123601
          14   -0.645754    -0.64637 0.000123527
          15   -0.646265   -0.646363  0.00011549
          16   -0.646518   -0.646373 0.000108674
          17   -0.646638   -0.646388 0.000103395
          18    -0.64609   -0.646372 9.89745e-05
          19   -0.646311   -0.646369 9.38174e-05
          20   -0.646564   -0.646378 8.96358e-05
