#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.55453     3.55453           0
           2     3.53464     3.54458  0.00703408
           3      3.6031     3.56409   0.0166033
           4     3.58056     3.56821   0.0129532
           5     3.57355     3.56928   0.0104065
           6     3.58812     3.57242  0.00913358
           7      3.5466     3.56873  0.00854119
           8     3.57597     3.56963  0.00752129
           9      3.5867     3.57153  0.00692055
          10       3.592     3.57358  0.00652418
          11     3.59299     3.57534  0.00616508
          12     3.58881     3.57646  0.00575257
          13     3.56221     3.57537  0.00541355
          14      3.5861     3.57613  0.00508084
          15     3.59145     3.57715  0.00484367
          16     3.54636     3.57523  0.00490841
          17     3.59848      3.5766  0.00480639
          18      3.5939     3.57756  0.00463447
          19     3.56867     3.57709  0.00441411
          20      3.6052      3.5785  0.00441145
