#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.211744    0.211744           0
           2    0.212154    0.211949 0.000145076
           3    0.212544    0.212147 0.000188752
           4    0.210735    0.211794 0.000336899
           5    0.212766    0.211989 0.000320674
           6    0.212571    0.212086 0.000281534
           7    0.209888    0.211772 0.000377761
           8     0.21269    0.211886  0.00034753
           9     0.21183     0.21188 0.000308973
          10    0.212981     0.21199 0.000297037
          11     0.21142    0.211938 0.000274524
          12    0.212378    0.211975 0.000254086
          13    0.210899    0.211892  0.00024765
          14    0.212882    0.211963 0.000239842
          15    0.213315    0.212053 0.000240195
          16    0.212464    0.212079 0.000226551
          17    0.212641    0.212112 0.000215622
          18    0.212458    0.212131 0.000204497
          19     0.21342    0.212199 0.000204671
          20    0.212674    0.212223  0.00019581
