#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.5003      1.5003           0
           2     1.51932     1.50981  0.00672302
           3     1.50695     1.50886  0.00454917
           4     1.49636     1.50573  0.00435434
           5     1.49794     1.50418  0.00375195
           6     1.51708     1.50633  0.00369197
           7     1.52291      1.5087  0.00385058
           8     1.50093     1.50773  0.00348935
           9     1.50523     1.50745  0.00311259
          10     1.52075     1.50878  0.00307248
          11     1.51086     1.50897  0.00279897
          12     1.49519     1.50782  0.00279132
          13     1.51183     1.50813  0.00259357
          14     1.50259     1.50773  0.00243826
          15     1.50584     1.50761  0.00227896
          16     1.50375     1.50737  0.00214922
          17     1.51661     1.50791  0.00209046
          18     1.51301     1.50819  0.00199345
          19     1.51161     1.50837  0.00189662
          20     1.51964     1.50894  0.00188366
