#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.482589   -0.482589           0
           2   -0.482424   -0.482507 5.82656e-05
           3   -0.482598   -0.482537 4.60386e-05
           4    -0.48221   -0.482455 7.88597e-05
           5   -0.482463   -0.482457  6.3104e-05
           6   -0.482472   -0.482459 5.26349e-05
           7   -0.482748     -0.4825 5.90736e-05
           8   -0.482312   -0.482477 5.61721e-05
           9   -0.481989   -0.482423 7.14408e-05
          10   -0.483505   -0.482531 0.000121158
          11   -0.482349   -0.482514  0.00011127
          12      -0.483   -0.482555 0.000109096
          13   -0.482596   -0.482558 0.000100751
          14   -0.482431   -0.482549 9.39633e-05
          15   -0.482555   -0.482549 8.76998e-05
          16   -0.482874    -0.48257 8.45331e-05
          17    -0.48194   -0.482533 8.72985e-05
          18   -0.482996   -0.482558 8.61546e-05
          19   -0.482543   -0.482558 8.16238e-05
          20   -0.482933   -0.482576 7.96745e-05
