#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.24379     1.24379           0
           2     1.24168     1.24273  0.00074432
           3     1.23965     1.24171 0.000974068
           4     1.23772     1.24071   0.0011311
           5     1.23589     1.23975  0.00125002
           6     1.23418     1.23882  0.00134256
           7      1.2326     1.23793  0.00141426
           8     1.23117     1.23709  0.00146826
           9      1.2299     1.23629  0.00150659
          10      1.2288     1.23554  0.00153073
          11     1.22788     1.23484  0.00154183
          12     1.22715      1.2342  0.00154092
          13     1.22661     1.23362  0.00152899
          14     1.22628     1.23309  0.00150703
          15     1.22614     1.23263   0.0014761
          16     1.22621     1.23223  0.00143735
          17     1.22648     1.23189  0.00139207
          18     1.22694     1.23161  0.00134166
          19     1.22758      1.2314  0.00128772
          20     1.22841     1.23125  0.00123202
          21     1.22939     1.23116  0.00117653
          22     1.23053     1.23114   0.0011234
          23     1.23181     1.23116  0.00107494
          24     1.23321     1.23125  0.00103352
          25     1.23471     1.23139  0.00100142
          26     1.23631     1.23158 0.000980609
          27     1.23798     1.23181 0.000972495
          28      1.2397      1.2321 0.000977707
          29     1.24147     1.23242 0.000996012
          30     1.24327     1.23278  0.00102641
          31     1.24509     1.23318  0.00106735
          32     1.24692     1.23361  0.00111699
          33     1.24874     1.23407  0.00117346
          34     1.25055     1.23455    0.001235
          35     1.25234     1.23506  0.00130006
          36      1.2541     1.23559  0.00136732
          37     1.25584     1.23614  0.00143572
          38     1.25754      1.2367  0.00150437
          39     1.25921     1.23728   0.0015726
          40     1.26083     1.23786  0.00163987
          41     1.26243     1.23846  0.00170579
          42     1.26398     1.23907  0.00177005
          43     1.26549     1.23969  0.00183243
          44     1.26697     1.24031   0.0018928
          45     1.26841     1.24093  0.00195106
          46     1.26982     1.24156  0.00200716
          47     1.27119     1.24219  0.00206109
          48     1.27253     1.24282  0.00211285
          49     1.27384     1.24345  0.00216247
          50     1.27512     1.24409  0.00221001
          51     1.27637     1.24472   0.0022555
          52     1.27759     1.24535  0.00229902
          53     1.27879     1.24598  0.00234063
          54     1.27997     1.24661   0.0023804
          55     1.28112     1.24724   0.0024184
          56     1.28225     1.24787  0.00245468
          57     1.28335     1.24849  0.00248933
          58     1.28444     1.24911  0.00252239
          59      1.2855     1.24972  0.00255393
          60     1.28654     1.25034  0.00258401
          61     1.28755     1.25095  0.00261268
          62     1.28855     1.25155  0.00263998
          63     1.28952     1.25216  0.00266597
          64     1.29047     1.25276  0.00269068
          65     1.29139     1.25335  0.00271415
          66      1.2923     1.25394  0.00273643
          67     1.29318     1.25453  0.00275754
          68     1.29403     1.25511  0.00277751
          69     1.29486     1.25568  0.00279638
          70     1.29567     1.25625  0.00281416
          71     1.29645     1.25682   0.0028309
          72      1.2972     1.25738   0.0028466
          73     1.29793     1.25794  0.00286129
          74     1.29864     1.25849    0.002875
          75     1.29931     1.25903  0.00288774
          76     1.29996     1.25957  0.00289953
          77     1.30059      1.2601  0.00291039
          78     1.30119     1.26063  0.00292035
          79     1.30176     1.26115  0.00292942
          80      1.3023     1.26166  0.00293762
          81     1.30282     1.26217  0.00294497
          82     1.30331     1.26267  0.00295149
          83     1.30378     1.26317  0.00295719
          84     1.30422     1.26366   0.0029621
          85     1.30464     1.26414  0.00296624
          86     1.30504     1.26462  0.00296962
          87     1.30541     1.26508  0.00297227
          88     1.30575     1.26555   0.0029742
          89     1.30608       1.266  0.00297544
          90     1.30638     1.26645  0.00297601
          91     1.30666     1.26689  0.00297592
          92     1.30692     1.26733   0.0029752
          93     1.30716     1.26776  0.00297388
          94     1.30738     1.26818  0.00297197
          95     1.30758     1.26859  0.00296949
          96     1.30777       1.269  0.00296647
          97     1.30794      1.2694  0.00296292
          98     1.30809      1.2698  0.00295888
          99     1.30824     1.27018  0.00295436
