#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.26605    -0.26605           0
           2   -0.263008   -0.264529  0.00107546
           3   -0.260104   -0.263054  0.00140162
           4   -0.257356    -0.26163   0.0016208
           5   -0.254792   -0.260262  0.00178251
           6   -0.252431   -0.258957  0.00190428
           7   -0.250284   -0.257718    0.001995
           8   -0.248376    -0.25655  0.00205923
           9   -0.246721   -0.255458  0.00210016
          10   -0.245337   -0.254446  0.00212004
          11   -0.244241   -0.253518  0.00212058
          12   -0.243437   -0.252678  0.00210371
          13   -0.242935   -0.251929   0.0020711
          14   -0.242733   -0.251272  0.00202463
          15   -0.242835   -0.250709  0.00196623
          16    -0.24324   -0.250243  0.00189795
          17   -0.243931   -0.249871  0.00182225
          18   -0.244905   -0.249595  0.00174178
          19   -0.246145   -0.249414  0.00165955
          20   -0.247628   -0.249324  0.00157897
          21   -0.249339   -0.249325  0.00150378
          22   -0.251258   -0.249413  0.00143799
          23   -0.253357   -0.249585  0.00138566
          24   -0.255615   -0.249836  0.00135051
          25   -0.258008   -0.250163  0.00133547
          26   -0.260511   -0.250561   0.0013421
          27     -0.2631   -0.251025  0.00137039
          28   -0.265761   -0.251551  0.00141892
          29   -0.268461   -0.252134  0.00148497
          30   -0.271189    -0.25277  0.00156542
          31   -0.273927   -0.253452  0.00165703
          32   -0.276657   -0.254177  0.00175677
          33   -0.279369   -0.254941  0.00186202
          34   -0.282052   -0.255738  0.00197061
          35   -0.284698   -0.256565  0.00208077
          36   -0.287303   -0.257419  0.00219116
          37   -0.289857   -0.258296  0.00230065
          38   -0.292359   -0.259192  0.00240841
          39   -0.294802   -0.260105  0.00251379
          40   -0.297189   -0.261032  0.00261632
          41   -0.299517   -0.261971  0.00271567
          42   -0.301794   -0.262919  0.00281166
          43   -0.304007   -0.263875   0.0029041
          44   -0.306165   -0.264836  0.00299292
          45   -0.308273   -0.265801  0.00307814
          46   -0.310334   -0.266769   0.0031598
          47   -0.312348   -0.267739  0.00323796
          48   -0.314311   -0.268709  0.00331268
          49   -0.316229   -0.269679  0.00338405
          50   -0.318109   -0.270648   0.0034522
          51   -0.319949   -0.271614  0.00351726
          52   -0.321748   -0.272578  0.00357931
          53    -0.32351   -0.273539  0.00363849
          54   -0.325234   -0.274497  0.00369491
          55   -0.326926    -0.27545  0.00374868
          56   -0.328586   -0.276399  0.00379993
          57    -0.33021   -0.277343  0.00384875
          58   -0.331799   -0.278282  0.00389523
          59   -0.333355   -0.279215  0.00393946
          60   -0.334879   -0.280143  0.00398155
          61   -0.336361   -0.281065  0.00402152
          62   -0.337821    -0.28198  0.00405951
          63   -0.339245   -0.282889  0.00409558
          64   -0.340637   -0.283791  0.00412978
          65   -0.341991   -0.284687  0.00416218
          66   -0.343312   -0.285575  0.00419283
          67   -0.344592   -0.286456  0.00422176
          68   -0.345843   -0.287329  0.00424905
          69   -0.347051   -0.288195  0.00427472
          70   -0.348222   -0.289052   0.0042988
          71   -0.349352   -0.289902  0.00432134
          72   -0.350443   -0.290742  0.00434235
          73   -0.351498   -0.291575   0.0043619
          74   -0.352511   -0.292398  0.00437999
          75   -0.353485   -0.293213  0.00439667
          76   -0.354418   -0.294018  0.00441196
          77    -0.35531   -0.294814  0.00442589
          78   -0.356172   -0.295601   0.0044385
          79   -0.356988   -0.296378  0.00444982
          80   -0.357766   -0.297145  0.00445987
          81   -0.358506   -0.297903  0.00446868
          82   -0.359208    -0.29865  0.00447629
          83   -0.359869   -0.299388  0.00448272
          84   -0.360496   -0.300115  0.00448799
          85   -0.361086   -0.300833  0.00449215
          86   -0.361642    -0.30154  0.00449522
          87   -0.362167   -0.302236  0.00449724
          88   -0.362659   -0.302923  0.00449825
          89   -0.363109   -0.303599  0.00449825
          90   -0.363532   -0.304265  0.00449729
          91   -0.363922   -0.304921   0.0044954
          92   -0.364283   -0.305566   0.0044926
          93   -0.364613   -0.306201  0.00448893
          94   -0.364918   -0.306826  0.00448443
          95   -0.365193    -0.30744  0.00447911
          96   -0.365448   -0.308044  0.00447303
          97   -0.365676   -0.308638   0.0044662
          98   -0.365889   -0.309223  0.00445867
          99   -0.366078   -0.309797  0.00445046
         100   -0.366248   -0.310361  0.00444162
         101   -0.366404   -0.310916  0.00443217
         102   -0.366548   -0.311462  0.00442214
         103   -0.366677   -0.311998  0.00441158
         104   -0.366789   -0.312525  0.00440051
         105   -0.366893   -0.313042  0.00438896
         106    -0.36699   -0.313551  0.00437696
         107   -0.367079   -0.314052  0.00436455
         108    -0.36716   -0.314543  0.00435175
         109   -0.367233   -0.315027  0.00433859
         110   -0.367302   -0.315502   0.0043251
         111   -0.367372   -0.315969   0.0043113
         112   -0.367438   -0.316429  0.00429723
         113   -0.367505   -0.316881  0.00428291
         114   -0.367579   -0.317326  0.00426836
         115   -0.367651   -0.317763  0.00425362
         116   -0.367729   -0.318194  0.00423871
         117   -0.367811   -0.318618  0.00422364
         118   -0.367895   -0.319036  0.00420844
         119   -0.367985   -0.319447  0.00419313
         120   -0.368078   -0.319852  0.00417773
         121   -0.368178   -0.320252  0.00416225
         122   -0.368285   -0.320645  0.00414671
         123   -0.368401   -0.321034  0.00413113
         124   -0.368526   -0.321417  0.00411553
         125   -0.368657   -0.321794  0.00409992
         126   -0.368794   -0.322167  0.00408432
         127    -0.36894   -0.322536  0.00406873
         128   -0.369091   -0.322899  0.00405316
         129   -0.369249   -0.323259  0.00403764
         130   -0.369411   -0.323614  0.00402216
         131   -0.369583   -0.323965  0.00400673
         132   -0.369751   -0.324312  0.00399136
         133   -0.369929   -0.324655  0.00397606
         134   -0.370104   -0.324994  0.00396083
         135   -0.370285   -0.325329  0.00394567
         136   -0.370459   -0.325661  0.00393059
         137   -0.370633   -0.325989  0.00391558
         138   -0.370803   -0.326314  0.00390065
         139   -0.370972   -0.326635   0.0038858
         140   -0.371133   -0.326953  0.00387102
         141   -0.371285   -0.327268  0.00385631
         142   -0.371429   -0.327579  0.00384168
         143   -0.371558   -0.327886   0.0038271
         144   -0.371679    -0.32819  0.00381259
         145   -0.371787   -0.328491  0.00379813
         146    -0.37187   -0.328788  0.00378372
