#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.199695    0.199695           0
           2    0.203945     0.20182  0.00150274
           3    0.198579    0.200739  0.00133485
           4    0.198803    0.200255  0.00108538
           5    0.196984    0.199601  0.00104709
           6    0.205265    0.200545  0.00122633
           7    0.206912    0.201455  0.00134686
           8     0.19706    0.200905  0.00128566
           9    0.192898    0.200015  0.00141763
          10    0.206765     0.20069  0.00142753
          11    0.198032    0.200449  0.00131806
          12    0.192553    0.199791  0.00136258
          13    0.194553    0.199388  0.00131598
          14    0.187772    0.198558  0.00146032
          15    0.204083    0.198926  0.00140865
          16    0.199724    0.198976  0.00132149
          17    0.205546    0.199363  0.00129903
          18    0.201885    0.199503   0.0012344
          19    0.198463    0.199448  0.00117064
          20    0.207791    0.199865  0.00118409
