#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.447983    0.447983           0
           2    0.440636     0.44431  0.00259759
           3    0.438974    0.442531  0.00226002
           4    0.434244     0.44046  0.00246824
           5     0.44466      0.4413  0.00211271
           6    0.437069    0.440594  0.00187457
           7    0.437531    0.440157  0.00165708
           8    0.436231    0.439666  0.00152088
           9    0.441629    0.439884  0.00136744
          10    0.434581    0.439354  0.00132957
          11    0.435282    0.438984  0.00125918
          12    0.440244    0.439089  0.00115862
          13    0.444744    0.439524  0.00114827
          14    0.437872    0.439406   0.0010723
          15    0.437156    0.439256  0.00101125
          16    0.444054    0.439556 0.000991519
          17    0.440018    0.439583 0.000933568
          18    0.435913    0.439379 0.000903685
          19    0.439241    0.439372 0.000856152
          20    0.437985    0.439302 0.000816149
