#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.849163   -0.849163           0
           2   -0.848965   -0.849064 7.00036e-05
           3   -0.847304   -0.848477 0.000481117
           4   -0.848188   -0.848405  0.00036622
           5   -0.847516   -0.848227 0.000333397
           6   -0.847959   -0.848182 0.000280816
           7   -0.849144    -0.84832 0.000272205
           8   -0.848415   -0.848332 0.000238438
           9   -0.848976   -0.848403 0.000222422
          10    -0.84922   -0.848485 0.000214668
          11   -0.847346   -0.848381 0.000218701
          12   -0.849113   -0.848442 0.000208805
          13   -0.848422   -0.848441  0.00019275
          14    -0.84787     -0.8484 0.000183249
          15    -0.84831   -0.848394 0.000171131
          16   -0.847997   -0.848369 0.000162225
          17   -0.848716    -0.84839 0.000153958
          18   -0.848386   -0.848389 0.000145405
          19    -0.84858   -0.848399 0.000138099
          20   -0.847763   -0.848368 0.000134812
