#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.4175     15.4175           0
           2     15.2918     15.3546   0.0444238
           3     14.7492     15.1528    0.167424
           4     15.0406     15.1248    0.127895
           5     15.2098     15.1418    0.103439
           6     14.9538     15.1104   0.0908204
           7     15.3504     15.1447   0.0840669
           8     15.2174     15.1538   0.0740476
           9     15.3222     15.1725    0.068144
          10     15.4664     15.2019   0.0673703
          11     14.9403     15.1781   0.0653095
          12     15.2679     15.1856   0.0602945
          13     15.2301      15.189   0.0557536
          14     15.0896     15.1819   0.0522212
          15     15.0981     15.1763   0.0490378
          16     14.9884     15.1646   0.0473583
          17     15.4074     15.1789    0.046676
          18     15.0703     15.1728   0.0444708
          19     15.4011     15.1849   0.0437222
          20     15.0824     15.1797   0.0418353
