#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0587088   0.0587088           0
           2   0.0581104   0.0584096 0.000211566
           3   0.0571492   0.0579895 0.000370902
           4   0.0562602   0.0575571 0.000466428
           5   0.0624988   0.0585455 0.000959517
           6   0.0612026   0.0589883 0.000895985
           7   0.0581552   0.0588693 0.000775852
           8   0.0581846   0.0587837 0.000683575
           9   0.0595424    0.058868 0.000612798
          10   0.0559902   0.0585802 0.000615393
          11   0.0621406   0.0589039 0.000638921
          12   0.0599416   0.0589904 0.000591501
          13   0.0548936   0.0586752 0.000624331
          14   0.0573884   0.0585833 0.000586463
          15   0.0603078   0.0586983  0.00055852
          16   0.0589808   0.0587159 0.000523892
          17   0.0574956   0.0586442 0.000497968
          18   0.0604808   0.0587462 0.000480643
          19   0.0573856   0.0586746  0.00046065
          20    0.059291   0.0587054 0.000438647
