#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.330355    0.330355           0
           2    0.324083    0.327219  0.00221747
           3    0.340332     0.33159  0.00386295
           4    0.329467    0.331059  0.00293344
           5    0.319557    0.328759  0.00312104
           6    0.329292    0.328848  0.00260213
           7    0.304659    0.325392  0.00389997
           8    0.332242    0.326249  0.00350521
           9    0.321375    0.325707  0.00315729
          10    0.328163    0.325953   0.0028511
          11    0.332354    0.326535  0.00265064
          12    0.331724    0.326967  0.00246478
          13    0.334434    0.327541  0.00234116
          14    0.328921     0.32764    0.002176
          15    0.332892     0.32799  0.00205891
          16    0.334211    0.328379   0.0019666
          17    0.315765    0.327637  0.00198597
          18    0.339553    0.328299   0.0019829
          19     0.33893    0.328858  0.00195588
          20    0.336291     0.32923  0.00189307
