#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.974144   -0.974144           0
           2   -0.974605   -0.974375 0.000162917
           3   -0.973188   -0.973979 0.000340778
           4    -0.97445   -0.974097 0.000275127
           5   -0.974957   -0.974269 0.000268578
           6   -0.974498   -0.974307 0.000226504
           7   -0.977129    -0.97471 0.000420736
           8   -0.973676   -0.974581  0.00038748
           9   -0.975193   -0.974649  0.00035034
          10   -0.974116   -0.974596  0.00031934
          11   -0.974053   -0.974546 0.000294091
          12    -0.97388   -0.974491 0.000274781
          13   -0.973411   -0.974408 0.000265896
          14   -0.974627   -0.974423 0.000247365
          15   -0.973089   -0.974334 0.000246356
          16   -0.973372   -0.974274 0.000238194
          17   -0.975367   -0.974339 0.000232698
          18   -0.972693   -0.974247 0.000237044
          19   -0.973211   -0.974193 0.000230753
          20   -0.972796   -0.974123 0.000229544
