#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     79.1101     79.1101           0
           2     79.4553     79.2827    0.122039
           3     78.3441     78.9698    0.268097
           4     79.2859     79.0488      0.2124
           5     79.9242     79.2239    0.231075
           6     79.5253     79.2742    0.197948
           7     81.7755     79.6315    0.371801
           8     78.5908     79.5014     0.34734
           9     80.1617     79.5748    0.316401
          10     78.9016     79.5075    0.291833
          11     78.9531     79.4571    0.269619
          12     79.0762     79.4253    0.249012
          13     78.3698     79.3441    0.242733
          14     79.7269     79.3715    0.226929
          15     77.7618     79.2642    0.235812
          16     78.5196     79.2176    0.225619
          17     79.8609     79.2555    0.215497
          18     77.5129     79.1587    0.224218
          19     78.3097      79.114    0.216824
          20     77.9502     79.0558    0.213648
