#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.57401     5.57401           0
           2     5.54826     5.56113  0.00910291
           3     5.69844      5.6069   0.0378592
           4     5.59701     5.60443   0.0284751
           5     5.61852     5.60725   0.0229192
           6     5.57816      5.6024   0.0196054
           7      5.5619     5.59661   0.0176375
           8     5.60704     5.59792    0.015481
           9     5.59289     5.59736   0.0137709
          10     5.58783      5.5964   0.0124268
          11     5.51731     5.58921   0.0132146
          12      5.5966     5.58983   0.0121277
          13     5.59493     5.59022   0.0112011
          14     5.59378     5.59048   0.0104039
          15     5.70922     5.59839   0.0123604
          16     5.52688     5.59392   0.0123695
          17      5.5852     5.59341   0.0116525
          18     5.67578     5.59799   0.0118697
          19     5.69344     5.60301   0.0122623
          20     5.53335     5.59953   0.0121338
