#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.398462    0.398462           0
           2    0.396999    0.397731  0.00051724
           3    0.397581    0.397681 0.000347239
           4    0.396839     0.39747 0.000317817
           5     0.39549    0.397074 0.000436052
           6     0.39805    0.397237 0.000392512
           7    0.397537     0.39728 0.000338779
           8    0.393123     0.39676  0.00056928
           9    0.400923    0.397223 0.000668007
          10    0.396494     0.39715 0.000605167
          11    0.394709    0.396928 0.000589443
          12    0.393891    0.396675 0.000592171
          13    0.398838    0.396841 0.000569509
          14    0.396504    0.396817 0.000529338
          15    0.397132    0.396838 0.000494466
          16    0.392577    0.396572 0.000530465
          17    0.401485    0.396861 0.000572603
          18    0.397261    0.396883 0.000541223
          19    0.399808    0.397037 0.000534186
          20    0.398506     0.39711   0.0005125
