#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.721058   -0.721058           0
           2   -0.719514   -0.720286 0.000546028
           3   -0.720663   -0.720412 0.000378203
           4   -0.720628   -0.720466   0.0002875
           5   -0.720155   -0.720404 0.000236625
           6   -0.720738   -0.720459 0.000203621
           7   -0.720113    -0.72041 0.000180441
           8    -0.71971   -0.720322  0.00017784
           9   -0.719988   -0.720285 0.000161926
          10   -0.721553   -0.720412 0.000188962
          11   -0.720974   -0.720463 0.000178555
          12   -0.721519   -0.720551 0.000184089
          13   -0.720317   -0.720533 0.000170809
          14   -0.720751   -0.720549 0.000159314
          15   -0.720923   -0.720574 0.000150637
          16   -0.720246   -0.720553 0.000142608
          17   -0.720538   -0.720552 0.000134222
          18   -0.721124   -0.720584 0.000130474
          19   -0.721201   -0.720617 0.000127586
          20   -0.720355   -0.720603 0.000121876
