#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613588   -0.613588           0
           2    -0.61312   -0.613354 0.000165463
           3   -0.613614    -0.61344 0.000131055
           4   -0.612915   -0.613309 0.000150346
           5   -0.613066    -0.61326 0.000127909
           6   -0.613354   -0.613276 0.000107534
           7   -0.612906   -0.613223  0.00010432
           8   -0.612445   -0.613126 0.000128888
           9   -0.612848   -0.613095 0.000118204
          10   -0.614772   -0.613263 0.000191426
          11   -0.613844   -0.613316 0.000181182
          12   -0.613652   -0.613344 0.000168234
          13   -0.612604   -0.613287  0.00016464
          14   -0.612629    -0.61324 0.000159444
          15   -0.613092    -0.61323  0.00014912
          16   -0.614207   -0.613291 0.000151789
          17    -0.61319   -0.613285 0.000142976
          18   -0.613067   -0.613273 0.000135543
          19   -0.613634   -0.613292 0.000129739
          20   -0.613763   -0.613315 0.000125374
