#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.315782    0.315782           0
           2    0.317729    0.316756 0.000688229
           3    0.320093    0.317868  0.00101769
           4    0.318007    0.317903 0.000763856
           5    0.319389      0.3182 0.000666384
           6     0.31645    0.317909 0.000615847
           7    0.316905    0.317765 0.000544302
           8    0.321434    0.318224 0.000640954
           9    0.319443    0.318359 0.000583876
          10    0.318564     0.31838 0.000525849
          11    0.318336    0.318376  0.00047806
          12    0.320045    0.318515 0.000458012
          13    0.316634     0.31837  0.00044504
          14    0.319912     0.31848 0.000426658
          15    0.318058    0.318452 0.000399142
          16    0.320604    0.318587 0.000396204
          17    0.319945    0.318667 0.000380866
          18    0.320926    0.318792 0.000379825
          19    0.318453    0.318774 0.000360254
          20    0.318735    0.318772 0.000342247
