#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95521     2.95521           0
           2     2.96299      2.9591  0.00275105
           3      3.0374      2.9852   0.0213907
           4     2.97467     2.98257   0.0162044
           5     2.97107     2.98027   0.0131256
           6      2.9349     2.97271   0.0129341
           7     3.01513     2.97877   0.0124255
           8     2.96478     2.97702   0.0109946
           9     2.97462     2.97675  0.00977618
          10     2.98924       2.978  0.00887802
          11     3.01864      2.9817  0.00880623
          12     3.04063     2.98661  0.00934182
          13     2.98097     2.98617  0.00863327
          14     2.96363     2.98456  0.00816538
          15     2.92174     2.98038  0.00862855
          16     3.00961      2.9822  0.00828042
          17     2.95843      2.9808  0.00791056
          18     3.00935     2.98239  0.00762835
          19     2.98037     2.98228   0.0072276
          20     3.02678     2.98451  0.00720051
