#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461911   -0.461911           0
           2   -0.461683   -0.461797 8.06102e-05
           3    -0.46253   -0.462041 0.000206556
           4   -0.461882   -0.462002 0.000158718
           5   -0.461922   -0.461986  0.00012777
           6   -0.462271   -0.462033 0.000114973
           7   -0.462478   -0.462097 0.000114745
           8   -0.461901   -0.462072 0.000102981
           9    -0.46247   -0.462116 0.000100561
          10   -0.462634   -0.462168 0.000102987
          11   -0.462039   -0.462156 9.42939e-05
          12   -0.462796    -0.46221  0.00010036
          13   -0.462318   -0.462218 9.29877e-05
          14   -0.462202   -0.462217 8.63532e-05
          15   -0.462204   -0.462216 8.06003e-05
          16   -0.461974   -0.462201 7.69645e-05
          17   -0.461963   -0.462187 7.36966e-05
          18   -0.462245    -0.46219 6.96734e-05
          19   -0.462493   -0.462206 6.78072e-05
          20   -0.462672   -0.462229 6.83007e-05
