#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36888     1.36888           0
           2     1.37128     1.37008 0.000848599
           3      1.3479     1.36268  0.00606311
           4     1.34997     1.35951  0.00531539
           5     1.35493     1.35859  0.00433035
           6     1.36188     1.35914  0.00364308
           7     1.34561     1.35721   0.0035986
           8     1.35128     1.35647  0.00322414
           9     1.36643     1.35757  0.00305012
          10      1.3682     1.35864  0.00292439
          11     1.34898     1.35776  0.00278721
          12     1.36379     1.35826  0.00259986
          13     1.37795     1.35977  0.00280661
          14     1.37712     1.36101   0.0028665
          15      1.3493     1.36023  0.00277971
          16     1.36444      1.3605  0.00261836
          17      1.3513     1.35995  0.00251959
          18     1.36584     1.36028  0.00240073
          19      1.3566     1.36009   0.0022822
          20     1.35238      1.3597  0.00220042
