#          T          mu       sigma           H       Error
    0.299843    0.449994    0.926559   -0.218101   0.0226135
    0.293846     0.50174    0.866519   -0.271889   0.0152166
    0.287969     0.10019    0.740487  -0.0347794   0.0135606
     0.28221    0.208526     1.14545   -0.174536   0.0278546
    0.276566    0.503114    0.795775   -0.304018   0.0104219
    0.271034     0.25432     1.07071   -0.211106   0.0234892
    0.265614   0.0347342    0.906959   -0.199859  0.00992651
    0.260301   0.0166111    0.885531   -0.209099  0.00966872
    0.255095    0.604188    0.562993   -0.297851  0.00929052
    0.249993     1.06598    0.676191  -0.0149446   0.0259485
    0.244994    0.636935    0.509972   -0.283899   0.0107286
    0.240094    0.399627    0.673582  -0.0980129  0.00890201
    0.235292   0.0447984     1.02937   -0.241836   0.0156651
    0.230586    0.481215    0.585515    -0.14545  0.00982073
    0.225974    0.133348     1.15831   -0.153016   0.0396364
    0.221455    0.953452    0.548303   -0.317367  0.00682067
    0.217026    0.860708    0.751678   -0.327128   0.0194532
    0.212685    0.629952    0.635928   -0.358427  0.00482304
    0.208431    0.707995    0.619544   -0.407505  0.00389913
    0.204263    0.827845    0.678792     -0.4052   0.0104557
    0.200178    0.380345     1.15125  -0.0995886   0.0323775
    0.196174    0.716525     1.15104    0.289135   0.0634917
    0.192251    0.860604    0.782794   -0.251707   0.0259825
    0.188406    0.848531    0.714224   -0.384305   0.0101162
    0.184637    0.865197    0.710644   -0.363849   0.0123021
    0.180945   0.0941217    0.985347   -0.276838   0.0126437
    0.177326    0.018123     1.11051   -0.183241   0.0399605
    0.173779    0.111862     0.92555   -0.226874   0.0190452
    0.170304    0.297325    0.810599   -0.195639  0.00858964
    0.166898     0.82673    0.636706   -0.441885  0.00514972
     0.16356    0.891069    0.620344    -0.40355   0.0105488
    0.160288    0.868299    0.442549   0.0366483    0.020836
    0.157083    0.707821    0.646931   -0.404635  0.00836011
    0.153941    0.511391    0.742726   -0.249088  0.00881057
    0.150862    0.545629    0.710034   -0.292704  0.00962997
    0.147845    0.995834    0.612668   -0.290007  0.00747746
    0.144888    0.362939    0.673199  -0.0876382   0.0113353
     0.14199     0.24043    0.974896   -0.267701   0.0138318
     0.13915    0.723727    0.686501   -0.411877  0.00665435
    0.136367    0.881805    0.503202   -0.290878   0.0114825
     0.13364    0.790043    0.620776   -0.440044  0.00521873
    0.130967    0.940846     0.70724   -0.296548   0.0156945
    0.128348     0.83908    0.715772   -0.368796   0.0143154
    0.125781    0.931032    0.617146   -0.387945  0.00752527
    0.123265    0.769726    0.578048   -0.419682  0.00802985
      0.1208    0.646154    0.702789   -0.368414  0.00718064
    0.118384    0.570868    0.553121   -0.270077  0.00827067
    0.116016    0.759645    0.816694   -0.271008    0.020021
    0.113696    0.562643    0.858459   -0.288332    0.013341
    0.111422    0.803437    0.685478   -0.410081   0.0115075
    0.109194    0.763344     0.50216   -0.296977   0.0142445
     0.10701    0.472053    0.790146    -0.26582   0.0116795
     0.10487    0.750967    0.608524   -0.428638  0.00438688
    0.102772    0.762776     0.57147   -0.435206   0.0087791
    0.100717     1.04723     0.59388   -0.194866   0.0138299
   0.0987025    0.882315     0.63642   -0.403356   0.0103035
   0.0967284    0.800999    0.641546   -0.441342  0.00422998
   0.0947939    0.609334    0.852719   -0.267431   0.0180368
    0.092898    0.657937    0.617875   -0.387173  0.00543257
     0.09104    0.722283    0.640071    -0.42229  0.00466631
   0.0892192     0.96144    0.608721   -0.313675   0.0191479
   0.0874348    0.844361     0.66609   -0.434806  0.00811046
   0.0856861    0.781634    0.642822   -0.419921  0.00733832
   0.0839724    0.842659    0.637049   -0.436794   0.0058243
    0.082293    0.810752    0.621465   -0.448566  0.00454332
   0.0806471    0.423302     1.02987   -0.238722   0.0224877
   0.0790342    0.812201    0.478089   -0.198008   0.0133161
   0.0774535    0.698855     0.65325    -0.40524  0.00487432
   0.0759044     0.44735     0.87965   -0.260036   0.0178807
   0.0743863    0.479606    0.808833   -0.273571   0.0110169
   0.0728986    0.664119    0.577981   -0.367645  0.00672306
   0.0714406    0.634726    0.559301   -0.321618  0.00878574
   0.0700118     0.92586    0.639506   -0.369391  0.00971813
   0.0686116    0.759404    0.654352   -0.433357  0.00468907
   0.0672393    0.658947    0.580098    -0.37165  0.00677551
   0.0658946    0.904255     0.64472   -0.405402  0.00638171
   0.0645767    0.929035    0.531202   -0.314262  0.00773234
   0.0632851    0.774092    0.615769   -0.448256  0.00647988
   0.0620194    0.955736    0.690266   -0.289279   0.0132843
    0.060779     0.74955    0.609279   -0.445582  0.00573839
   0.0595635    0.680936    0.499048   -0.276286   0.0185431
   0.0583722    0.784502    0.704683   -0.388714   0.0127589
   0.0572047    0.852616    0.545247   -0.361907  0.00998023
   0.0560607    0.825643    0.619061   -0.436886  0.00489609
   0.0549394    0.933389     0.61155   -0.378722  0.00884066
   0.0538407    0.693289     0.61365   -0.405659  0.00478722
   0.0527638    0.692658    0.730998   -0.366215   0.0108041
   0.0517086    0.947055    0.594473   -0.361305  0.00773168
   0.0506744    0.717216    0.644056   -0.420986   0.0049878
   0.0496609    0.693906     0.81714   -0.316007   0.0089468
   0.0486677    0.640832    0.577009   -0.341378  0.00605845
   0.0476943    0.762121    0.698612   -0.397001  0.00950565
   0.0467404    0.933728     0.63624   -0.359122   0.0113299
   0.0458056    0.867199    0.664317   -0.394514   0.0101703
   0.0448895    0.721834    0.651082   -0.418938  0.00510818
   0.0439917    0.768382    0.571896   -0.425836   0.0077865
   0.0431119    0.767823    0.658087   -0.427074  0.00671256
   0.0422497    0.740471    0.660559   -0.422824  0.00573167
   0.0414047    0.800204    0.666102   -0.440303  0.00570697
   0.0405766    0.847885    0.616409    -0.43654  0.00621417
    0.039765     0.83323    0.687144   -0.406231   0.0101664
   0.0389697    0.832447    0.754159   -0.361224   0.0171449
   0.0381903    0.648903    0.660439   -0.363768   0.0118306
   0.0374265    0.832043    0.589427   -0.425722  0.00422953
    0.036678     0.78959    0.593924   -0.436369  0.00557319
   0.0359444    0.736653    0.706442   -0.405436  0.00860123
   0.0352256    0.820645     0.62153   -0.437975  0.00797646
    0.034521    0.798558    0.707487   -0.409932   0.0123243
   0.0338306    0.624098    0.614345   -0.351528  0.00752355
    0.033154    0.722521    0.588889   -0.419556  0.00673561
   0.0324909    0.828967    0.621225   -0.430617   0.0083771
   0.0318411    0.750471    0.638762   -0.439515  0.00585064
   0.0312043    0.680004    0.522715    -0.31463  0.00978289
   0.0305802    0.875252    0.563269   -0.403459  0.00801992
   0.0299686    0.879279    0.644763   -0.396854  0.00965731
   0.0293692    0.828542    0.619594   -0.440627   0.0088311
   0.0287818    0.839606    0.654415   -0.435758   0.0148332
