#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.68009     1.63059  0.00184127
         148     1.68048     1.63093  0.00185943
         149     1.68083     1.63126  0.00187687
         150     1.68115      1.6316   0.0018936
         151     1.68143     1.63193   0.0019096
         152     1.68167     1.63225  0.00192487
         153     1.68187     1.63258  0.00193941
         154     1.68203      1.6329  0.00195322
         155     1.68217     1.63322  0.00196631
         156     1.68226     1.63353  0.00197869
         157     1.68233     1.63384  0.00199034
         158     1.68236     1.63415  0.00200129
         159     1.68235     1.63445  0.00201153
         160     1.68232     1.63475  0.00202109
         161     1.68225     1.63505  0.00202995
         162     1.68215     1.63534  0.00203814
         163     1.68203     1.63562  0.00204567
         164     1.68187     1.63591  0.00205253
         165     1.68168     1.63618  0.00205876
         166     1.68146     1.63646  0.00206434
         167     1.68121     1.63672   0.0020693
         168     1.68093     1.63699  0.00207365
         169     1.68063     1.63725  0.00207739
         170     1.68029      1.6375  0.00208055
         171     1.67993     1.63775  0.00208312
         172     1.67954     1.63799  0.00208513
         173     1.67912     1.63823  0.00208659
         174     1.67867     1.63846   0.0020875
         175      1.6782     1.63869  0.00208789
         176      1.6777     1.63891  0.00208776
         177     1.67718     1.63912  0.00208713
         178     1.67663     1.63934  0.00208602
         179     1.67607     1.63954  0.00208443
         180     1.67547     1.63974  0.00208239
         181     1.67486     1.63993  0.00207991
         182     1.67423     1.64012    0.002077
         183     1.67358     1.64031  0.00207368
         184     1.67292     1.64048  0.00206997
         185     1.67224     1.64065  0.00206589
         186     1.67154     1.64082  0.00206144
         187     1.67083     1.64098  0.00205666
         188     1.67012     1.64114  0.00205155
         189     1.66939     1.64129  0.00204613
         190     1.66866     1.64143  0.00204043
         191     1.66792     1.64157  0.00203446
         192     1.66718      1.6417  0.00202823
         193     1.66643     1.64183  0.00202176
         194     1.66569     1.64195  0.00201508
         195     1.66494     1.64207  0.00200819
         196      1.6642     1.64218  0.00200112
         197     1.66346     1.64229  0.00199387
         198     1.66273     1.64239  0.00198647
         199     1.66201     1.64249  0.00197893
         200     1.66129     1.64259  0.00197127
         201     1.66058     1.64268  0.00196349
