#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.927002   -0.853156  0.00292786
         153   -0.927251    -0.85364   0.0029485
         154   -0.927446   -0.854119  0.00296805
         155   -0.927591   -0.854593  0.00298651
         156   -0.927686   -0.855062   0.0030039
         157   -0.927731   -0.855525  0.00302021
         158   -0.927726   -0.855982  0.00303547
         159   -0.927674   -0.856433  0.00304968
         160   -0.927577   -0.856877  0.00306287
         161    -0.92743   -0.857315  0.00307503
         162   -0.927232   -0.857747  0.00308619
         163   -0.926994   -0.858172  0.00309636
         164    -0.92671    -0.85859  0.00310555
         165   -0.926382   -0.859001  0.00311379
         166   -0.926011   -0.859404  0.00312109
         167   -0.925595   -0.859801  0.00312747
         168   -0.925139    -0.86019  0.00313294
         169   -0.924636   -0.860571  0.00313752
         170   -0.924093   -0.860945  0.00314124
         171   -0.923504    -0.86131   0.0031441
         172   -0.922878   -0.861668  0.00314613
         173   -0.922208   -0.862018  0.00314735
         174   -0.921505    -0.86236  0.00314777
         175   -0.920756   -0.862694  0.00314742
         176   -0.919968   -0.863019  0.00314632
         177   -0.919154   -0.863336  0.00314449
         178   -0.918303   -0.863645  0.00314195
         179   -0.917417   -0.863946  0.00313872
         180     -0.9165   -0.864238  0.00313483
         181   -0.915555   -0.864521  0.00313031
         182   -0.914584   -0.864796  0.00312517
         183   -0.913585   -0.865063  0.00311945
         184   -0.912561   -0.865321  0.00311316
         185   -0.911524   -0.865571  0.00310633
         186   -0.910461   -0.865812  0.00309899
         187   -0.909387   -0.866045  0.00309117
         188   -0.908298    -0.86627  0.00308288
         189   -0.907201   -0.866486  0.00307417
         190    -0.90609   -0.866695  0.00306505
         191   -0.904979   -0.866895  0.00305555
         192   -0.903861   -0.867088  0.00304569
         193   -0.902744   -0.867272  0.00303551
         194   -0.901627    -0.86745  0.00302502
         195   -0.900517   -0.867619  0.00301426
         196   -0.899411   -0.867781  0.00300324
         197   -0.898318   -0.867936    0.002992
         198   -0.897234   -0.868084  0.00298054
         199   -0.896157   -0.868225   0.0029689
         200   -0.895091    -0.86836  0.00295709
         201   -0.894048   -0.868488  0.00294514
         202    -0.89302   -0.868609  0.00293306
         203   -0.892015   -0.868724  0.00292088
         204   -0.891033   -0.868834  0.00290861
         205   -0.890072   -0.868937  0.00289627
         206   -0.889131   -0.869035  0.00288386
         207   -0.888219   -0.869128  0.00287142
         208   -0.887335   -0.869215  0.00285895
         209   -0.886484   -0.869298  0.00284646
         210   -0.885664   -0.869376  0.00283398
         211   -0.884882    -0.86945   0.0028215
         212   -0.884138   -0.869519  0.00280904
         213   -0.883428   -0.869584  0.00279661
         214   -0.882764   -0.869646  0.00278422
         215    -0.88214   -0.869704  0.00277188
         216   -0.881565   -0.869759  0.00275959
         217   -0.881043   -0.869811  0.00274736
         218   -0.880568    -0.86986   0.0027352
         219   -0.880151   -0.869907  0.00272312
         220   -0.879787   -0.869952  0.00271111
         221   -0.879494   -0.869995  0.00269918
         222   -0.879257   -0.870037  0.00268735
         223   -0.879084   -0.870077   0.0026756
         224   -0.878981   -0.870117  0.00266395
         225   -0.878949   -0.870156   0.0026524
         226   -0.878989   -0.870196  0.00264096
         227   -0.879107   -0.870235  0.00262961
         228   -0.879299   -0.870275  0.00261838
         229   -0.879561   -0.870315  0.00260726
         230   -0.879898   -0.870357  0.00259626
         231   -0.880307     -0.8704  0.00258538
         232   -0.880797   -0.870445  0.00257462
         233   -0.881355   -0.870491    0.002564
         234   -0.881988   -0.870541  0.00255351
         235   -0.882679   -0.870592  0.00254317
         236    -0.88343   -0.870647  0.00253297
         237   -0.884247   -0.870704  0.00252293
         238   -0.885118   -0.870765  0.00251306
         239   -0.886046   -0.870829  0.00250336
         240   -0.887016   -0.870896  0.00249384
         241   -0.888036   -0.870967   0.0024845
         242   -0.889094   -0.871042  0.00247536
         243   -0.890185   -0.871121  0.00246643
         244   -0.891301   -0.871203  0.00245771
         245    -0.89244    -0.87129  0.00244921
         246   -0.893592   -0.871381  0.00244093
         247    -0.89476   -0.871475  0.00243288
         248   -0.895939   -0.871574  0.00242507
         249   -0.897126   -0.871677   0.0024175
         250   -0.898307   -0.871783  0.00241017
         251   -0.899489   -0.871894   0.0024031
         252   -0.900668   -0.872008  0.00239627
         253   -0.901839   -0.872126   0.0023897
         254      -0.903   -0.872247  0.00238338
         255   -0.904151   -0.872372  0.00237732
         256   -0.905294   -0.872501  0.00237151
         257   -0.906424   -0.872633  0.00236595
         258   -0.907545   -0.872768  0.00236065
         259   -0.908649   -0.872907  0.00235559
         260   -0.909741   -0.873049  0.00235079
         261   -0.910825   -0.873193  0.00234623
         262     -0.9119   -0.873341  0.00234193
         263   -0.912966   -0.873492  0.00233786
         264    -0.91402   -0.873645  0.00233404
         265   -0.915068   -0.873801  0.00233046
         266   -0.916117   -0.873961  0.00232712
         267    -0.91716   -0.874122  0.00232403
