#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.9295      2.9295           0
           2     2.92662     2.92806  0.00101975
           3      2.9845     2.94688   0.0153766
           4     2.97217      2.9532   0.0127667
           5     3.00703     2.96396   0.0140367
           6     2.97604     2.96598   0.0118406
           7     2.97676     2.96752   0.0102487
           8     2.99456      2.9709  0.00950885
           9     2.99005     2.97303  0.00868719
          10     2.97565     2.97329  0.00782245
          11     2.97203     2.97317  0.00711215
          12     2.98751     2.97437   0.0066191
          13     2.96451     2.97361  0.00615323
          14     2.96993     2.97335  0.00571932
          15     2.94183     2.97125  0.00571106
          16     2.99813     2.97293  0.00559589
          17      2.9372     2.97083  0.00564761
          18      2.9778     2.97121  0.00534712
          19      2.9849     2.97193  0.00511396
          20     2.96483     2.97158  0.00487057
