#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.316393    0.316393           0
           2    0.316572    0.316483 6.32233e-05
           3    0.318819    0.317261 0.000637202
           4    0.319491    0.317819 0.000679305
           5    0.316009    0.317457 0.000632538
           6    0.317837     0.31752 0.000530285
           7    0.318103    0.317603 0.000461017
           8    0.316605    0.317479 0.000419947
           9    0.317073    0.317434 0.000375703
          10    0.318866    0.317577  0.00036443
          11    0.319179    0.317722 0.000359219
          12    0.318139    0.317757 0.000330954
          13    0.317842    0.317764  0.00030556
          14    0.319741    0.317905  0.00031469
          15    0.317645    0.317888 0.000294188
          16    0.318819    0.317946 0.000281505
          17    0.317245    0.317905 0.000267944
          18     0.31869    0.317948 0.000256586
          19    0.316331    0.317863 0.000256813
          20    0.317203     0.31783 0.000246084
