#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.612849   -0.612849           0
           2    -0.61291    -0.61288  2.1496e-05
           3   -0.613798   -0.613186 0.000250259
           4   -0.613516   -0.613268 0.000200833
           5   -0.613161   -0.613247 0.000161809
           6    -0.61326   -0.613249 0.000134855
           7   -0.613404   -0.613271 0.000117408
           8   -0.612334   -0.613154 0.000150193
           9   -0.613786   -0.613224 0.000149024
          10   -0.613152   -0.613217 0.000134294
          11   -0.612795   -0.613179 0.000127442
          12   -0.613852   -0.613235 0.000128584
          13   -0.613293   -0.613239  0.00011877
          14   -0.612418   -0.613181 0.000123915
          15   -0.613353   -0.613192 0.000116187
          16   -0.613486    -0.61321 0.000110368
          17   -0.613363   -0.613219 0.000104241
          18   -0.613216   -0.613219 9.84501e-05
          19   -0.612936   -0.613204 9.43871e-05
          20   -0.613367   -0.613212 9.00167e-05
